Ordens ;Protocolo;Resposta ;custas;motivo do atraso;
#148313/19;;2 Positiva;;;
#148313/20;;Negativa ;;;
#148313/21;;1 Positiva;;;
#148313/22;;Negativa ;;;
#148313/23;;3 Positiva;;;
#148313/24;;1 Positiva;;;
#148313/25;;Negativa ;;;
#148313/26;;Negativa ;;;
#148313/27;;1 Positiva;;;
#148313/28;;1 Positiva;;;
#148313/29;;2 Positiva;;;
#148344/2;;1 Positiva;;;
#148349/2;;Negativa ;;;
#148349/4;;Negativa ;;;
#148355/2;;1 Positiva;;;
#148355/4;;Negativa ;;;
#148358/2;;2 Positiva;;;
#148358/4;;1 Positiva;;;
#148358/6;;Negativa ;;;
#148358/8;;Negativa ;;;
#148366/2;;Negativa ;;;
