Referência;12/2010;
#118947/10;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/26;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/25;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/24;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/22;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/15;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/37;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/100;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/83;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/82;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/81;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/80;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/79;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/78;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/77;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/76;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/75;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/74;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/73;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/72;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/71;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/84;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/85;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/99;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/98;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/97;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/96;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
