Relatório ;1;;;;;;;
Entre ;26/01/2014 00:00:00 e 26/05/2014 23:59:59 ;tirado em 26/05/2014 19:00:53;;;;;;
Data/Hora;Ordem;Descrição;Pago;Troco;Valor;Forma;Feito;
15/05/2014 09:07:43;#298348/1;Anotação - Óbito ;53;;53.00;Depósito;Sim;
06/05/2014 09:37:45;#295878/1;Anotação - Óbito ;125;;125.00;Depósito;Sim;
25/04/2014 10:26:10;#295762/1;Anotação - Óbito ;48.4;;48.40;Depósito;Sim;
07/05/2014 09:34:22;#298744/1;Anotação - Óbito ;72.07;;72.07;Depósito;Sim;
08/05/2014 09:27:18;#298744/1;Anotação - Óbito ;5.41;;5.41;Depósito;Sim;
;

06/05/2014 09:37:45;#296638/1;Averbação - Divórcio ;106;;106.00;Depósito;Sim;
11/04/2014 10:55:32;#290441/1;Averbação - Divórcio ;100;;100.00;Depósito;Sim;
24/03/2014 13:57:03;#289187/1;Averbação - Divórcio ;105;;105.00;Depósito;Sim;
24/03/2014 13:57:05;#288737/1;Averbação - Divórcio ;107;;107.00;Depósito;Sim;
21/03/2014 07:43:17;#290441/1;Averbação - Divórcio ;180;;180.00;Depósito;Sim;
28/03/2014 07:34:33;#281091/1;Averbação - Divórcio ;123;;123.00;Depósito;Sim;
06/05/2014 09:37:46;#295396/1;Averbação - Divórcio ;138.9;;138.90;Depósito;Sim;
13/03/2014 20:53:46;#289187/1;Averbação - Divórcio ;75;;75.00;Depósito;Sim;
;

09/05/2014 09:23:06;#299330/1;Averbação - Retificação ;43;;43.00;Depósito;Sim;
06/05/2014 09:37:48;#297821/1;Averbação - Retificação ;61;;61.00;Depósito;Sim;
09/05/2014 09:23:05;#297821/1;Averbação - Retificação ;32;;32.00;Depósito;Sim;
;

28/04/2014 10:35:00;#297066/1;Casamento ;72.1;;72.10;Depósito;Sim;
07/05/2014 08:35:14;#298738/1;Casamento ;29.07;;29.07;Dinheiro;Sim;
07/05/2014 09:34:22;#298488/2;Casamento ;50;;50.00;Depósito;Sim;
07/05/2014 09:34:23;#298596/1;Casamento ;70.4;;70.40;Depósito;Sim;
07/05/2014 09:34:23;#297615/1;Casamento ;68;;68.00;Depósito;Sim;
07/05/2014 09:34:22;#298635/1;Casamento ;13.5;;13.50;Depósito;Sim;
06/05/2014 09:37:46;#297862/1;Casamento ;22;;22.00;Depósito;Sim;
29/04/2014 09:51:24;#297513/1;Casamento ;29.1;;29.10;Dinheiro;Sim;
14/02/2014 09:20:42;#284495/2;Casamento ;85.00;;85.00;Depósito;Sim;
08/04/2014 18:31:20;#294380/1;Casamento ;157;;157.00;Depósito;Sim;
07/05/2014 09:34:21;#297527/1;Casamento ;150;;150.00;Depósito;Sim;
07/04/2014 09:16:56;#294086/1;Casamento ;120;;120.00;Depósito;Sim;
06/05/2014 09:37:47;#297867/1;Casamento ;149.35;;149.35;Depósito;Sim;
06/05/2014 09:37:44;#297599/1;Casamento ;72.07;;72.07;Depósito;Sim;
06/05/2014 09:37:45;#297844/2;Casamento ;93.15;;93.15;Depósito;Sim;
23/04/2014 09:44:44;#296315/1;Casamento ;40;;40.00;Depósito;Sim;
06/05/2014 09:37:47;#297864/1;Casamento ;50;;50.00;Depósito;Sim;
24/04/2014 13:17:18;#296565/1;Casamento ;72.1;;72.10;Depósito;Sim;
06/05/2014 09:37:45;#297752/1;Casamento ;50;;50.00;Depósito;Sim;
24/04/2014 13:17:19;#297058/1;Casamento ;77.4;;77.40;Depósito;Sim;
30/04/2014 10:29:00;#297881/1;Casamento ;29.07;;29.07;Dinheiro;Sim;
06/05/2014 09:37:46;#297058/1;Casamento ;45;;45.00;Depósito;Sim;
25/04/2014 08:45:19;#297034/1;Casamento ;29.1;;29.10;Dinheiro;Sim;
02/05/2014 08:22:19;#298044/1;Casamento ;34.86;;34.86;Dinheiro;Sim;
29/04/2014 09:36:06;#297615/1;Casamento ;68;;68.00;Depósito;Sim;
06/05/2014 09:37:48;#297515/1;Casamento ;5.33;;5.33;Depósito;Sim;
10/04/2014 10:57:32;#295098/1;Casamento ;83.15;;83.15;Depósito;Sim;
06/05/2014 09:37:49;#298341/1;Casamento ;77.4;;77.40;Depósito;Sim;
10/04/2014 10:57:32;#295098/2;Casamento ;81.58;;81.58;Depósito;Sim;
10/04/2014 10:57:32;#293359/1;Casamento ;15;;15.00;Depósito;Sim;
29/04/2014 09:36:05;#295759/1;Casamento ;115;;115.00;Depósito;Sim;
24/04/2014 13:17:19;#296575/1;Casamento ;72.1;;72.10;Depósito;Sim;
11/04/2014 10:55:33;#294742/1;Casamento ;100;;100.00;Depósito;Sim;
29/04/2014 09:36:06;#297586/1;Casamento ;76.4;;76.40;Depósito;Sim;
06/05/2014 09:37:48;#297615/1;Casamento ;25;;25.00;Depósito;Sim;
28/04/2014 08:45:53;#297346/1;Casamento ;29.1;;29.10;Dinheiro;Sim;
05/05/2014 08:21:51;#298059/1;Casamento ;29.1;;29.10;Dinheiro;Sim;
15/05/2014 09:07:45;#300431/1;Casamento ;72.1;;72.10;Depósito;Sim;
21/03/2014 07:43:15;#290433/2;Casamento ;112.38;;112.38;Depósito;Sim;
16/05/2014 08:20:55;#300343/1;Casamento ;60;;60.00;Depósito;Sim;
21/03/2014 07:43:15;#290421/1;Casamento ;100.1;;100.10;Depósito;Sim;
16/05/2014 08:20:55;#300324/1;Casamento ;70;;70.00;Depósito;Sim;
19/03/2014 09:04:56;#290457/1;Casamento ;71.6;;71.60;Depósito;Sim;
19/03/2014 09:04:55;#290416/1;Casamento ;72.1;;72.10;Depósito;Sim;
16/05/2014 08:20:56;#300350/1;Casamento ;60;;60.00;Depósito;Sim;
21/03/2014 07:43:16;#290321/1;Casamento ;82;;82.00;Depósito;Sim;
08/04/2014 18:31:20;#293576/1;Casamento ;55;;55.00;Depósito;Sim;
21/03/2014 07:43:18;#290131/2;Casamento ;88.7;;88.70;Depósito;Sim;
21/03/2014 07:43:17;#290433/1;Casamento ;45;;45.00;Depósito;Sim;
21/03/2014 07:43:17;#290623/1;Casamento ;52.74;;52.74;Depósito;Sim;
19/03/2014 09:49:27;#290356/1;Casamento ;48;;48.00;Depósito;Sim;
12/03/2014 09:30:29;#288595/2;Casamento ;59.2;;59.20;Depósito;Sim;
22/05/2014 09:06:31;#301547/1;Casamento ;29.1;;29.10;Dinheiro;Não;
22/05/2014 09:06:31;#301623/1;Casamento ;29.1;;29.10;Dinheiro;Não;
22/05/2014 08:30:03;#301646/1;Casamento ;72.1;;72.10;Depósito;Não;
13/03/2014 08:45:02;#289132/1;Casamento ;80;;80.00;Depósito;Sim;
21/05/2014 08:27:14;#301327/1;Casamento ;83.65;;83.65;Depósito;Não;
13/03/2014 20:53:46;#287455/1;Casamento ;156;;156.00;Depósito;Sim;
21/05/2014 08:34:57;#301113/1;Casamento ;29.1;;29.10;Dinheiro;Não;
13/03/2014 08:45:03;#289140/1;Casamento ;54;;54.00;Depósito;Sim;
26/03/2014 08:24:57;#290321/1;Casamento ;31.25;;31.25;Depósito;Sim;
09/05/2014 08:59:50;#298321/1;Casamento ;29.07;;29.07;Dinheiro;Sim;
28/03/2014 07:34:34;#291382/1;Casamento ;43.38;;43.38;Depósito;Sim;
09/05/2014 09:23:05;#294742/1;Casamento ;45.6;;45.60;Depósito;Sim;
03/04/2014 10:05:53;#290338/1;Casamento ;45;;45.00;Depósito;Sim;
02/04/2014 11:05:03;#293359/1;Casamento ;136;;136.00;Depósito;Sim;
31/03/2014 15:56:45;#292746/1;Casamento ;113;;113.00;Depósito;Sim;
08/05/2014 09:22:16;#299113/1;Casamento ;77.40;;77.40;Dinheiro;Sim;
12/05/2014 09:28:32;#299507/1;Casamento ;48.88;;48.88;Depósito;Sim;
26/03/2014 08:24:58;#290176/2;Casamento ;80;;80.00;Depósito;Sim;
13/05/2014 08:28:39;#299389/2;Casamento ;80;;80.00;Depósito;Sim;
13/05/2014 08:28:40;#297586/1;Casamento ;8.6;;8.60;Depósito;Sim;
24/03/2014 13:57:05;#291507/1;Casamento ;50;;50.00;Depósito;Sim;
24/03/2014 13:57:06;#290747/1;Casamento ;51.15;;51.15;Depósito;Sim;
24/03/2014 13:57:05;#291632/1;Casamento ;120;;120.00;Depósito;Sim;
24/03/2014 13:57:04;#291393/1;Casamento ;72.1;;72.10;Depósito;Sim;
14/05/2014 08:59:08;#299816/2;Casamento ;42.03;;42.03;Depósito;Sim;
14/05/2014 08:59:04;#299811/1;Casamento ;54;;54.00;Depósito;Sim;
26/03/2014 08:24:58;#291467/1;Casamento ;65;;65.00;Depósito;Sim;
24/03/2014 13:57:06;#291691/1;Casamento ;69.1;;69.10;Depósito;Sim;
;

02/05/2014 08:22:19;#297818/4;Certidão de Imóvel - Pelo nome do Propri;18.71;;18.71;Dinheiro;Sim;
28/03/2014 07:34:36;#292286/9;Certidão de Imóvel - Pelo nome do Propri;15;;15.00;Depósito;Sim;
28/03/2014 07:34:36;#292286/8;Certidão de Imóvel - Pelo nome do Propri;35;;35.00;Depósito;Sim;
28/03/2014 07:34:36;#292286/6;Certidão de Imóvel - Pelo nome do Propri;35;;35.00;Depósito;Sim;
28/03/2014 07:34:35;#292286/5;Certidão de Imóvel - Pelo nome do Propri;35;;35.00;Depósito;Sim;
31/03/2014 15:56:45;#290750/1;Certidão de Imóvel - Pelo nome do Propri;53;;53.00;Depósito;Sim;
28/03/2014 07:34:35;#292286/4;Certidão de Imóvel - Pelo nome do Propri;15;;15.00;Depósito;Sim;
12/03/2014 09:30:29;#285063/2;Certidão de Imóvel - Pelo nome do Propri;55;;55.00;Depósito;Sim;
