Referência;10/2010;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Aparecida de Goiânia - GO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Araçatuba - SP;R$ 7,50;R$ 3,00;R$ 150,00;R$ 0,00;5.00% do Bruto
Araraquara - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Balneário Camboriú - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Barretos - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Batatais - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bauru - SP;R$ 28,41;R$ 5,41;R$ 732,49;R$ 429,00;10.50% do Líquido
Betim - MG;R$ 68,50;R$ 27,40;R$ 1.370,00;R$ 0,00;5.00% do Bruto
Brasília - DF;R$ 1.500,00;R$ 27,40;R$ 806,04;R$ 0,00;Fixo  semestre
Cachoeirinha - RS;R$ 1.000,00;R$ 27,40;R$ 1.604,00;R$ 0,00;Fixo  semestre
Campinas - SP;R$ 561,27;R$ 224,51;R$ 11.225,34;R$ 0,00;5.00% do Bruto
Capivari - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Caraguatatuba - SP;R$ 27,40;R$ 10,96;R$ 548,00;R$ 0,00;5.00% do Bruto
Cascavel - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Catanduva - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Chapecó - SC;R$ 182,00;R$ 72,80;R$ 3.640,00;R$ 0,00;5.00% do Bruto
Cuiabá - MT;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Curitiba - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Diadema - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Dourados - MS;R$ 16,75;R$ 6,70;R$ 335,00;R$ 0,00;5.00% do Bruto
Feira de Santana - BA;R$ 123,75;R$ 49,50;R$ 2.475,00;R$ 0,00;5.00% do Bruto
Goiânia - GO;R$ 20,79;R$ 8,32;R$ 1.143,20;R$ 676,00;5.00% do Líquido
Guarulhos - SP;R$ 426,40;R$ 85,28;R$ 4.264,00;R$ 0,00;10.00% do Bruto
