Ordens ;Protocolo;Resposta ;Custas ;Motivo de atrazo
#151852/52;;Negativa ;;
#151852/53;;Negativa ;;
#151852/54;;Negativa ;;
#151852/55;;1 Positiva ;;
#151852/56;;Negativa ;;
#151852/57;;Negativa ;;
#151852/58;;1 Positiva ;;
#151852/59;;1 Positiva ;;
#151852/60;;1 Positiva ;;
#151852/61;;1 Positiva ;;
#151852/62;;2 Positiva ;;
#151852/63;;1 Positiva ;;
#151852/64;;Negativa ;;
#151852/65;;Negativa ;;
#151852/66;;Negativa ;;
#151852/67;;3 Positiva ;;
#151852/68;;Negativa ;;
#151852/69;;Negativa ;;
#151852/70;;Negativa ;;
#151852/71;;1 Positiva ;;
#151852/72;;1 Positiva ;;
#151852/73;;Negativa ;;
#151852/74;;Negativa ;;
#151852/75;;1 Positiva ;;
#151852/76;;Negativa ;;
#151852/77;;Negativa ;;
#151852/78;;5 Positiva ;;
#151852/79;;1 Positiva ;;
#151852/80;;2 Positiva ;;
#151852/81;;5 Positiva ;;
#151852/82;;Negativa ;;
#151852/83;;2 Positiva ;;
#151852/84;;Negativa ;;
#151852/85;;6 Positiva ;;
#151852/86;;Negativa ;;
#151852/87;;1 Positiva ;;
#151852/88;;2 Positiva ;;
#151852/89;;Negativa ;;
#151852/90;;1 Positiva ;;
#151852/91;;1 Positiva ;;
#151852/92;;3 Positiva ;;
#151852/93;;2 Positiva ;;
#151852/94;;Negativa ;;
#151852/95;;1 Positiva ;;
#151852/96;;Negativa ;;
#151852/97;;Negativa ;;
#151852/98;;Negativa ;;
#151852/99;;Negativa ;;
#151854/1;;Negativa ;;
#151854/2;;Negativa ;;
#151854/3;;Negativa ;;
#151854/4;;2 Positiva ;;
#151854/5;;1 Positiva ;;
#151854/6;;Negativa ;;
#151854/7;;2 Positiva ;;
#151854/8;;3 Positiva ;;
#151854/9;;2 Positiva ;;
#151854/10;;Negativa ;;
#151854/11;;Negativa ;;
#151854/12;;1 Positiva ;;
#151854/13;;Negativa ;;
#151854/14;;1 Positiva ;;
#151854/15;;Negativa ;;
#151854/16;;Negativa ;;
#151854/17;;Negativa ;;
#151854/18;;Negativa ;;
#151854/19;;4 Positiva ;;
#151854/20;;Negativa ;;
#151854/21;;1 Positiva ;;
#151854/22;;4 Positiva ;;
#151854/23;;Negativa ;;
#151854/24;;Negativa ;;
#151854/25;;Negativa ;;
#151854/26;;1 Positiva ;;
#151854/27;;1 Positiva ;;
#151854/28;;1 Positiva ;;
#151854/29;;Negativa ;;
#151854/30;;Negativa ;;
#151854/31;;Negativa ;;
#151854/32;;Negativa ;;
#151854/33;;Negativa ;;
#151854/34;;Negativa ;;
#151854/35;;Negativa ;;
#151854/36;;Negativa ;;
#151854/37;;3 Positiva ;;
#151854/38;;Negativa ;;
#151854/39;;1 Positiva ;;
#151854/40;;Negativa ;;
#151854/41;;Negativa ;;
#151854/42;;1 Positiva ;;
#151854/43;;Negativa ;;
#151854/44;;2 Positiva ;;
#151854/45;;Negativa ;;
#151854/46;;Negativa ;;
#151854/47;;Negativa ;;
#151854/48;;Negativa ;;
#151854/49;;Negativa ;;
#151854/50;;Negativa ;;
#151854/51;;2 Positiva ;;
#151854/52;;Negativa ;;
#151854/53;;Negativa ;;
#151854/54;;Negativa ;;
#151854/55;;4 Positiva ;;
#151854/56;;Negativa ;;
#151854/57;;Negativa ;;
#151854/58;;Negativa ;;
#151854/59;;Negativa ;;
#151854/60;;1 Positiva ;;
#151854/61;;Negativa ;;
#151854/62;;Negativa ;;
#151854/63;;Negativa ;;
#151854/64;;Negativa ;;
#151854/65;;1 Positiva ;;
#151854/66;;Negativa ;;
#151854/67;;Negativa ;;
#151854/68;;5 Positiva ;;
#151854/69;;Negativa ;;
#151854/70;;Negativa ;;
#151854/71;;Negativa ;;
#151854/72;;1 Positiva ;;
#151854/73;;2 Positiva ;;
#151854/74;;1 Positiva ;;
#151854/75;;Negativa ;;
#151854/76;;2 Positiva ;;
#151854/77;;3 Positiva ;;
#151854/78;;10 Positiva ;;
#151854/79;;Negativa ;;
#151854/80;;Negativa ;;
#151854/81;;Negativa ;;
#151854/82;;2 Positiva ;;
#151854/83;;Negativa ;;
#151854/84;;Negativa ;;
#151854/85;;4 Positiva ;;
#151854/86;;Negativa ;;
#151854/87;;5 Positiva ;;
#151854/88;;Negativa ;;
#151854/89;;Negativa ;;
#151854/90;;2 Positiva ;;
#151854/91;;2 Positiva ;;
#151854/92;;Negativa ;;
#151854/93;;1 Positiva ;;
#151854/94;;Negativa ;;
#151854/95;;Negativa ;;
#151854/96;;1 Positiva ;;
#151854/97;;Negativa ;;
#151854/98;;1 Positiva ;;
#151854/99;;Negativa ;;
#151854/100;;1 Positiva ;;
#151854/101;;Negativa ;;
#151854/102;;Negativa ;;
#151854/103;;Negativa ;;
#151854/104;;Negativa ;;
#151854/105;;1 Positiva ;;
#151854/106;;7 Positiva ;;
#151854/107;;1 Positiva ;;
#151854/108;;Negativa ;;
#151854/109;;Negativa ;;
#151854/110;;Negativa ;;
#151854/111;;Negativa ;;
#151854/112;;Negativa ;;
#151854/113;;Negativa ;;
#151854/114;;Negativa ;;
#151854/115;;Negativa ;;
#151854/116;;2 Positiva ;;
#151854/117;;2 Positiva ;;
#151854/118;;Negativa ;;
#151854/119;;4 Positiva ;;
#151854/120;;Negativa ;;
#151881/2;;Negativa ;;
#151881/4;;Negativa ;;
#151881/6;;Negativa ;;
#151881/8;;Negativa ;;
#151881/10;;Negativa ;;
#151881/12;;1 Positiva ;;
#151881/14;;12 Positiva ;;
#151320/1;;Negativa ;;
#151852/100;;2 Positiva ;;
#151852/101;;Negativa ;;
#152147/297;;1 Positiva ;;
#152147/298;;2 Positiva ;;
#152147/299;;2 Positiva ;;
#152147/300;;4 Positiva ;;
#152151/395;;3 Positiva ;;
#152151/396;;Negativa ;;
#152147/301;;Negativa ;;
#152147/302;;2 Positiva ;;
#152147/303;;3 Positiva ;;
#152151/397;;Negativa ;;
#152147/304;;Negativa ;;
#152151/398;;3 Positiva ;;
#152147/305;;Negativa ;;
#152147/306;;Negativa ;;
#152147/307;;Negativa ;;
#152147/308;;2 Positiva ;;
#152147/309;;Negativa ;;
#152147/310;;3 Positiva ;;
#152147/311;;1 Positiva ;;
#152147/312;;2 Positiva ;;
#152147/313;;Negativa ;;
#152147/314;;1 Positiva ;;
#152147/315;;Negativa ;;
#152147/316;;Negativa ;;
#152147/317;;Negativa ;;
#152147/318;;2 Positiva ;;
#152147/319;;Negativa ;;
#152147/320;;Negativa ;;
#152147/321;;11 Positiva ;;
#152147/322;;1 Positiva ;;
#152147/323;;6 Positiva ;;
#152147/324;;Negativa ;;
#152147/325;;Negativa ;;
#152147/326;;2 Positiva ;;
#152147/327;;Negativa ;;
#152147/328;;1 Positiva ;;
#152147/329;;Negativa ;;
#152147/330;;5 Positiva ;;
#152147/331;;1 Positiva ;;
#152147/332;;1 Positiva ;;
#152147/333;;Negativa ;;
#152147/334;;1 Positiva ;;
#152147/335;;3 Positiva ;;
#152147/336;;1 Positiva ;;
#152147/337;;1 Positiva ;;
#152147/338;;Negativa ;;
#152147/339;;Negativa ;;
#152147/340;;1 Positiva ;;
#152151/399;;1 Positiva ;;
#152151/400;;1 Positiva ;;
#152151/401;;2 Positiva ;;
#152151/402;;1 Positiva ;;
#152151/403;;2 Positiva ;;
#152151/404;;1 Positiva ;;
#152151/405;;1 Positiva ;;
#152151/406;;2 Positiva ;;
#152151/407;;7 Positiva ;;
#152151/408;;2 Positiva ;;
#152151/409;;4 Positiva ;;
#152151/410;;1 Positiva ;;
#152151/411;;Negativa ;;
#152151/412;;Negativa ;;
#152253/2;;Negativa ;;
#152253/4;;Negativa ;;
#152286/1;;1 Positiva ;;
#152151/413;;2 Positiva ;;
#152395/2;;Negativa ;;
#152407/2;;3 Positiva ;;
#152428/2;;3 Positiva ;;
#152430/2;;1 Positiva ;;
#152438/2;;Negativa ;;
#152438/4;;2 Positiva ;;
#152447/2;;Negativa ;;
#152447/4;;2 Positiva ;;
#152494/2;;Negativa ;;
#152544/2;;Negativa ;;
#152544/4;;Negativa ;;
#152561/2;;Negativa ;;
#152666/2;;1 Positiva ;;
#152669/2;;Negativa ;;
#152669/4;;Negativa ;;
#152740/1;;1 Positiva ;;
#152740/2;;Negativa ;;
#152740/3;;Negativa ;;
#152740/4;;Negativa ;;
#152740/5;;1 Positiva ;;
#152740/6;;Negativa ;;
#152740/7;;Negativa ;;
#152740/8;;Negativa ;;
#152740/9;;2 Positiva ;;
#152740/10;;Negativa ;;
#152740/11;;Negativa ;;
#152740/12;;Negativa ;;
#152740/13;;1 Positiva ;;
#152740/14;;4 Positiva ;;
#152740/15;;1 Positiva ;;
#152740/16;;1 Positiva ;;
#152740/17;;1 Positiva ;;
#152740/18;;1 Positiva ;;
#152740/19;;Negativa ;;
#152772/1;;Negativa ;;
#152772/2;;2 Positiva ;;
#152772/3;;1 Positiva ;;
#152772/4;;Negativa ;;
#152772/5;;Negativa ;;
#152772/6;;Negativa ;;
#152772/7;;2 Positiva ;;
#152772/8;;2 Positiva ;;
#152772/9;;Negativa ;;
#152772/10;;1 Positiva ;;
#152772/11;;1 Positiva ;;
#152772/12;;Negativa ;;
#152772/13;;Negativa ;;
#152772/14;;2 Positiva ;;
#152772/15;;Negativa ;;
#152772/16;;Negativa ;;
#152772/17;;Negativa ;;
#152772/18;;Negativa ;;
#152772/19;;3 Positiva ;;
#152772/20;;Negativa ;;
#152772/21;;Negativa ;;
#152772/22;;1 Positiva ;;
#152772/23;;Negativa ;;
#152772/24;;38 Positiva ;;
#152772/25;;Negativa ;;
#152772/26;;Negativa ;;
#152772/27;;Negativa ;;
#152772/28;;Negativa ;;
#152772/29;;Negativa ;;
#152772/30;;2 Positiva ;;
#152772/31;;Negativa ;;
#152772/32;;1 Positiva ;;
#152772/33;;Negativa ;;
#152772/34;;1 Positiva ;;
#152772/35;;Negativa ;;
#152772/36;;3 Positiva ;;
#152772/37;;3 Positiva ;;
#152772/38;;1 Positiva ;;
#152772/39;;Negativa ;;
#152772/40;;Negativa ;;
#152772/41;;2 Positiva ;;
#152772/42;;Negativa ;;
#152772/43;;Negativa ;;
#152772/44;;2 Positiva ;;
#152772/45;;1 Positiva ;;
#152772/46;;Negativa ;;
#152772/47;;1 Positiva ;;
#152772/48;;2 Positiva ;;
#152772/49;;Negativa ;;
#152772/50;;1 Positiva ;;
#152772/51;;Negativa ;;
#152772/52;;1 Positiva ;;
#152772/53;;3 Positiva ;;
#152772/54;;1 Positiva ;;
#152772/55;;Negativa ;;
#152772/56;;Negativa ;;
#152772/57;;Negativa ;;
#152772/58;;Negativa ;;
#152772/59;;4 Positiva ;;
#152772/60;;Negativa ;;
#152772/61;;Negativa ;;
#152772/62;;1 Positiva ;;
#152780/2;;Negativa ;;
#152784/2;;Negativa ;;
#152784/4;;1 Positiva ;;
#152784/6;;1 Positiva ;;
#152787/2;;Negativa ;;
#152787/4;;Negativa ;;
#152787/6;;3 Positiva ;;
#152787/8;;5 Positiva ;;
#152787/10;;1 Positiva ;;
#152787/12;;Negativa ;;
#152787/14;;Negativa ;;
#152787/16;;Negativa ;;
#152793/2;;Negativa ;;
#152793/4;;Negativa ;;
#152793/6;;Negativa ;;
#152793/8;;Negativa ;;
#152793/10;;Negativa ;;
#152793/12;;3 Positiva ;;
#152793/14;;Negativa ;;
#152819/2;;Negativa ;;
#152819/4;;Negativa ;;
#152819/6;;5 Positiva ;;
#152819/8;;1 Positiva ;;
#152821/2;;3 Positiva ;;
#152821/4;;6 Positiva ;;
#152821/6;;3 Positiva ;;
#152821/8;;Negativa ;;
#152821/10;;1 Positiva ;;
#152827/2;;1 Positiva ;;
#152827/4;;Negativa ;;
#152827/6;;Negativa ;;
#152843/2;;Negativa ;;
#152848/2;;Negativa ;;
#152848/4;;Negativa ;;
#152851/2;;Negativa ;;
#152851/4;;1 Positiva ;;
#152851/6;;Negativa ;;
