Ordens;;Resposta ;custas;motivo do atraso
#145712/200;;Negativa ;;
#145712/201;;1 positiva  ;;
#145712/202;;1 positiva  ;;
#145712/203;;1 positiva  ;;
#145712/204;;1 positiva  ;;
#145712/205;;Negativa ;;
#145712/206;;1 positiva  ;;
#145712/207;;Negativa ;;
#145712/208;;Negativa ;;
#145712/209;;Negativa ;;
#145712/210;;1 positiva  ;;
#145712/211;;1 positiva  ;;
#145712/212;;2 positiva  ;;
#145712/213;;1 positiva  ;;
#145712/214;;Negativa ;;
#145712/215;;3 positiva  ;;
#145712/216;;4 positiva  ;;
#145712/217;;1 positiva  ;;
#145712/218;;Negativa ;;
#145712/219;;1 positiva  ;;
#145712/220;;1 positiva  ;;
#145712/221;;2 positiva  ;;
#145712/222;;3 positiva  ;;
#145712/223;;2 positiva  ;;
#145712/224;;Negativa ;;
#145712/225;;1 positiva  ;;
#145712/226;;Negativa ;;
#145712/227;;Negativa ;;
#145712/228;;1 positiva  ;;
#145712/229;;1 positiva  ;;
#145712/230;;Negativa ;;
#145712/231;;Negativa ;;
#145712/232;;Negativa ;;
#145712/233;;Negativa ;;
#145712/234;;Negativa ;;
#145712/235;;Negativa ;;
#145712/236;;Negativa ;;
#145712/237;;2 positiva  ;;
#145712/238;;Negativa ;;
#145712/239;;Negativa ;;
#145712/240;;1 positiva  ;;
#145712/241;;1 positiva  ;;
#145712/242;;Negativa ;;
#145712/243;;1 positiva  ;;
#145712/244;;1 positiva  ;;
#145712/245;;Negativa ;;
#145712/246;;2 positiva  ;;
#145712/247;;2 positiva  ;;
#145712/248;;1 positiva  ;;
#145712/249;;1 positiva  ;;
#145712/250;;1 positiva  ;;
#145712/251;;Negativa ;;
#145712/252;;1 positiva  ;;
#145712/253;;Negativa ;;
#145712/254;;1 positiva  ;;
#145712/255;;Negativa ;;
#145712/256;;Negativa ;;
#145712/257;;Negativa ;;
#145712/258;;Negativa ;;
#145712/259;;1 positiva  ;;
#145712/260;;Negativa ;;
#145712/261;;Negativa ;;
#145712/262;;Negativa ;;
#145712/263;;2 positiva  ;;
#145712/264;;Negativa ;;
#145712/265;;Negativa ;;
#145712/266;;2 positiva  ;;
#145712/267;;4 positiva  ;;
#145712/268;;2 positiva  ;;
#145712/269;;Negativa ;;
#145712/270;;Negativa ;;
#145712/271;;Negativa ;;
#145712/272;;1 positiva  ;;
#145712/273;;2 positiva  ;;
#145712/274;;1 positiva  ;;
#145712/275;;Negativa ;;
#145712/276;;Negativa ;;
#145712/277;;1 positiva  ;;
#145712/278;;Negativa ;;
#145712/279;;3 positiva  ;;
#145712/280;;Negativa ;;
#145712/281;;2 positiva  ;;
#145712/282;;Negativa ;;
#145712/283;;1 positiva  ;;
#145712/284;;Negativa ;;
#145712/285;;1 positiva  ;;
#145712/286;;1 positiva  ;;
#145712/287;;2 positiva  ;;
#145712/288;;1 positiva  ;;
#145712/289;;Negativa ;;
#145712/290;;1 positiva  ;;
#145712/291;;Negativa ;;
#145712/292;;1 positiva  ;;
#145712/293;;3 positiva  ;;
#145712/294;;1 positiva  ;;
#145712/295;;Negativa ;;
#145712/296;;Negativa ;;
#145712/297;;2 positiva  ;;
#145712/298;;Negativa ;;
#145712/299;;Negativa ;;
#145712/300;;1 positiva  ;;
#145712/301;;1 positiva  ;;
#145712/302;;1 positiva  ;;
#145712/303;;1 positiva  ;;
#145712/304;;1 positiva  ;;
#145712/305;;2 positiva  ;;
#145712/306;;4 positiva  ;;
#145712/307;;2 positiva  ;;
#145712/308;;Negativa ;;
#145712/309;;3 positiva  ;;
#145712/310;;1 positiva  ;;
#145712/311;;2 positiva  ;;
#145712/312;;Negativa ;;
#145712/313;;Negativa ;;
#145712/314;;2 positiva  ;;
#145712/315;;Negativa ;;
#145712/316;;2 positiva  ;;
#145712/317;;2 positiva  ;;
#145712/318;;Negativa ;;
#145712/319;;Negativa ;;
#145712/320;;Negativa ;;
#145779/2;;3 positiva  ;;
#145779/4;;Negativa ;;
#145779/7;;Negativa ;;
#145825/2;;Negativa ;;
#145830/2;;Negativa ;;
#145830/4;;Negativa ;;
#145830/6;;1 positiva  ;;
#145954/2;;1- positiva;;
#145956/2;;nada consta;;
#145956/4;;1- positiva;;
#145956/6;;nada consta;;
#145992/2;;nada consta;;
#146013/1;;1-positiva;;
#146020/2;;2- positiva;;
#146024/2;;1- positiva;;
#146028/1;;2- positiva;;
#146028/3;;2-positiva;;
#146028/5;;1- positiva;;
#146057/2;;1- positiva;;
