Referência;09/2015;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Açailandia - MA;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Afrânio - PE;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Águas Claras - DF;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Alagoinhas - BA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Alfenas - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Altamira - PA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Americana - SP;R$ 350,00;R$ 35,00;R$ 0,00;R$ 0,00;Fixo 350.00 semestre
Américo Brasiliense - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Ananindeua - PA;R$ 500,00;R$ 10,00;R$ 1.480,00;R$ 0,00;Fixo 500.00 semestre
Anápolis - GO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Angra dos Reis - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Aparecida de Goiânia  - GO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Aracaju - SE;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Araçatuba - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Araguaína - TO;R$ 500,00;R$ 10,00;R$ 325,00;R$ 0,00;Fixo 500.00 semestre
Araraquara - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Araras - SP;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Araxá - MG;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Ariquemes - RO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
