Referência;08/2010;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Aparecida de Goiânia - GO;R$ 2,87;R$ 0,55;R$ 60,00;R$ 30,00;10.50% do Líquido
Araçatuba - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Araraquara - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Balneário Camboriú - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Barretos - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Batatais - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bauru - SP;R$ 33,74;R$ 6,43;R$ 2.211,84;R$ 1.791,00;10.50% do Líquido
Betim - MG;R$ 57,25;R$ 22,90;R$ 1.145,00;R$ 0,00;5.00% do Bruto
Brasília - DF;R$ 1.500,00;R$ 22,90;R$ 415,80;R$ 0,00;Fixo  semestre
Cachoeirinha - RS;R$ 1.000,00;R$ 22,90;R$ 975,00;R$ 0,00;Fixo  semestre
Campinas - SP;R$ 479,71;R$ 191,88;R$ 9.594,10;R$ 0,00;5.00% do Bruto
Capivari - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Caraguatatuba - SP;R$ 14,50;R$ 5,80;R$ 290,00;R$ 0,00;5.00% do Bruto
Cascavel - PR;R$ 8,49;R$ 3,39;R$ 169,70;R$ 0,00;5.00% do Bruto
Catanduva - SP;R$ 58,39;R$ 11,12;R$ 1.237,80;R$ 626,00;10.50% do Líquido
Chapecó - SC;R$ 192,20;R$ 76,88;R$ 3.844,00;R$ 0,00;5.00% do Bruto
Cuiabá - MT;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Curitiba - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Diadema - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Dourados - MS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Feira de Santana - BA;R$ 91,32;R$ 36,53;R$ 1.826,30;R$ 0,00;5.00% do Bruto
Goiânia - GO;R$ 30,69;R$ 12,28;R$ 1.191,50;R$ 524,00;5.00% do Líquido
Guarulhos - SP;R$ 470,60;R$ 94,12;R$ 4.706,00;R$ 0,00;10.00% do Bruto
Guaxupé - MG;R$ 143,91;R$ 27,41;R$ 1.631,00;R$ 187,00;10.50% do Líquido
Ilhéus - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Indaiatuba - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Itabuna - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Itaguaí - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Itaquaquecetuba - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0.00% do Bruto
Itu - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Jaraguá do Sul - SC;R$ 45,60;R$ 18,24;R$ 911,95;R$ 0,00;5.00% do Bruto
Jundiaí - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Lajeado - RS;R$ 700,00;R$ 0,00;R$ 214,00;R$ 0,00;Fixo  semestre
Londrina - PR;R$ 29,18;R$ 5,56;R$ 291,00;R$ 0,00;10.50% do Líquido
Maceió - AL;R$ 7,50;R$ 3,00;R$ 150,00;R$ 0,00;5.00% do Bruto
Maringá - PR;R$ 68,87;R$ 27,55;R$ 1.377,36;R$ 0,00;5.00% do Bruto
Niterói - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
