Relatório ;0;;;;;;;
Entre ;01/09/2014 00:00:00 e 01/09/2014 23:59:59 ;tirado em 01/09/2014 10:59:39;;;;;;
Data/Hora;Ordem;Descrição;Pago;Troco;Valor;Forma;Feito;
00/00/0000 00:00:00;#315765/62;Objeto e Pé ;;;8.00;Depósito;Não;
00/00/0000 00:00:00;#315765/66;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/61;Objeto e Pé ;;;8.00;Depósito;Não;
00/00/0000 00:00:00;#315765/65;Objeto e Pé ;;;54.40;Depósito;Não;
00/00/0000 00:00:00;#315765/64;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/63;Objeto e Pé ;;;8.00;Depósito;Não;
00/00/0000 00:00:00;#315765/68;Objeto e Pé ;;;5.53;Depósito;Não;
00/00/0000 00:00:00;#315765/69;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/70;Objeto e Pé ;;;54.40;Depósito;Não;
00/00/0000 00:00:00;#315765/71;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/72;Objeto e Pé ;;;8.00;Depósito;Não;
00/00/0000 00:00:00;#315765/73;Objeto e Pé ;;;5.53;Depósito;Não;
00/00/0000 00:00:00;#315765/67;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/60;Objeto e Pé ;;;43.00;Depósito;Não;
00/00/0000 00:00:00;#315765/59;Objeto e Pé ;;;8.00;Depósito;Não;
00/00/0000 00:00:00;#315765/58;Objeto e Pé ;;;8.00;Depósito;Não;
00/00/0000 00:00:00;#315765/45;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/44;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/43;Objeto e Pé ;;;54.40;Depósito;Não;
00/00/0000 00:00:00;#315765/37;Objeto e Pé ;;;70.90;Depósito;Não;
00/00/0000 00:00:00;#315765/42;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/41;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/40;Objeto e Pé ;;;54.40;Depósito;Não;
00/00/0000 00:00:00;#315765/39;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/38;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/46;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/47;Objeto e Pé ;;;19.40;Depósito;Não;
00/00/0000 00:00:00;#315765/56;Objeto e Pé ;;;8.00;Depósito;Não;
00/00/0000 00:00:00;#315765/55;Objeto e Pé ;;;43.00;Depósito;Não;
00/00/0000 00:00:00;#315765/54;Objeto e Pé ;;;5.53;Depósito;Não;
00/00/0000 00:00:00;#315765/53;Objeto e Pé ;;;5.53;Depósito;Não;
00/00/0000 00:00:00;#315765/52;Objeto e Pé ;;;5.53;Depósito;Não;
00/00/0000 00:00:00;#315765/51;Objeto e Pé ;;;5.53;Depósito;Não;
00/00/0000 00:00:00;#315765/50;Objeto e Pé ;;;40.53;Depósito;Não;
00/00/0000 00:00:00;#315765/49;Objeto e Pé ;;;5.53;Depósito;Não;
00/00/0000 00:00:00;#315765/48;Objeto e Pé ;;;19.40;Depósito;Não;
;;;;Total;781.34;;;
