Referência;03/2015;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Barra da Tijuca - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Barra do Garças - MT;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Barretos - SP;R$ 500,00;R$ 50,00;R$ 3.962,40;R$ 0,00;Fixo 500.00 semestre
Barueri - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Barueri Lj 02 - SP;R$ 1.500,00;R$ 150,00;R$ 3.441,40;R$ 0,00;Fixo 1500.00 semestre
Batatais - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bauru - SP;R$ 500,00;R$ 50,00;R$ 4.680,48;R$ 0,00;Fixo 500.00 semestre
Bebedouro - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Belém - PA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Belo Horizonte LJ 01 - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Belo Horizonte LJ 02 - MG;R$ 1.000,00;R$ 100,00;R$ 460,00;R$ 0,00;Fixo 1000.00 semestre
Belo Horizonte LJ 03 - MG;R$ 500,00;R$ 50,00;R$ 460,00;R$ 0,00;Fixo 500.00 semestre
Bento Gonçalves - RS;R$ 0,00;R$ 0,00;R$ 1.030,00;R$ 0,00;0.00% do Bruto
Betim - MG;R$ 27,25;R$ 10,90;R$ 545,00;R$ 0,00;5.00% do Bruto
Birigui - SP;R$ 500,00;R$ 50,00;R$ 510,00;R$ 0,00;Fixo 500.00 semestre
Blumenau - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Boa Esperança - MG;R$ 500,00;R$ 50,00;R$ 887,00;R$ 0,00;Fixo 500.00 semestre
Boa Vista - RR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Boituva - SP;R$ 500,00;R$ 50,00;R$ 425,00;R$ 0,00;Fixo 500.00 semestre
Bom Jesus da Lapa - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bonsucesso - RJ;R$ 1.000,00;R$ 100,00;R$ 579,10;R$ 0,00;Fixo 1000.00 semestre
Bragança Paulista - SP;R$ 500,00;R$ 50,00;R$ 6.355,74;R$ 0,00;Fixo 500.00 semestre
Brasília - LJ 03  - DF;R$ 1.500,00;R$ 150,00;R$ 0,00;R$ 0,00;Fixo 1500.00 semestre
Brasília LJ 04 - DF;R$ 1.000,00;R$ 100,00;R$ 525,00;R$ 0,00;Fixo 1000.00 semestre
Brasília LJ 05 - DF;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bruxelas - Bélgica;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0.00% do Bruto
Cabo de Santo Agostinho - PE;R$ 350,00;R$ 35,00;R$ 0,00;R$ 0,00;Fixo 350.00 semestre
Cabo Frio - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Caçapava - SP;R$ 500,00;R$ 50,00;R$ 491,50;R$ 0,00;Fixo 500.00 semestre
Cáceres - MT;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Caetité - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Camaçari - BA;R$ 500,00;R$ 10,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Campina Grande - PB;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Campinas - SP;R$ 1.000,00;R$ 100,00;R$ 150,00;R$ 0,00;Fixo 1000.00 semestre
Campinas LJ 03 - SP;R$ 1.000,00;R$ 50,00;R$ 2.106,81;R$ 0,00;Fixo 1000.00 semestre
Campo Grande - MS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Campo Grande - RJ;R$ 500,00;R$ 50,00;R$ 4.461,00;R$ 0,00;Fixo 500.00 semestre
Campo Mourão - PR;R$ 500,00;R$ 50,00;R$ 42,43;R$ 0,00;Fixo 500.00 semestre
Campos do Jordão - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Campos dos Goytacazes - RJ;R$ 1.000,00;R$ 100,00;R$ 1.111,00;R$ 0,00;Fixo 1000.00 semestre
Canaã dos Carajás - PA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Caraguatatuba - SP;R$ 500,00;R$ 50,00;R$ 19,40;R$ 0,00;Fixo 500.00 semestre
Carapicuíba - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Caratinga - MG;R$ 500,00;R$ 50,00;R$ 1.942,00;R$ 0,00;Fixo 500.00 semestre
Cartório Postal - Uruçui - PI;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Caruaru - PE;R$ 500,00;R$ 50,00;R$ 2.210,00;R$ 0,00;Fixo 500.00 semestre
Cascavel - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Catalão - GO;R$ 350,00;R$ 35,00;R$ 0,00;R$ 0,00;Fixo 350.00 semestre
Caxias do Sul - RS;R$ 500,00;R$ 50,00;R$ 3.158,21;R$ 0,00;Fixo 500.00 semestre
Ceará - CE;R$ 2.000,00;R$ 200,00;R$ 785,00;R$ 0,00;Fixo 2000.00 semestre
Chapadinha - MA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Chapecó - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Cianorte - PR;R$ 350,00;R$ 35,00;R$ 0,00;R$ 0,00;Fixo 350.00 semestre
Conselheiro Lafaiete - MG;R$ 500,00;R$ 10,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Consolação - SP;R$ 1.000,00;R$ 100,00;R$ 3.057,00;R$ 0,00;Fixo 1000.00 semestre
Copacabana - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Cotia - SP;R$ 1.000,00;R$ 100,00;R$ 1.580,00;R$ 0,00;Fixo 1000.00 semestre
Cubatão - SP;R$ 500,00;R$ 50,00;R$ 1.825,30;R$ 0,00;Fixo 500.00 semestre
Cuiabá - MT;R$ 1.650,00;R$ 165,00;R$ 0,00;R$ 0,00;Fixo 1650.00 semestre
Curitiba - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Curitiba Lj 02 - PR;R$ 1.000,00;R$ 100,00;R$ 3.719,66;R$ 0,00;Fixo 1000.00 semestre
Diadema - SP;R$ 500,00;R$ 10,00;R$ 9.334,00;R$ 0,00;Fixo 500.00 semestre
Duque de Caxias - RJ;R$ 500,00;R$ 10,00;R$ 1.427,20;R$ 0,00;Fixo 500.00 semestre
Extrema - MG;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Fazenda Rio Grande - PR;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Flamengo - RJ;R$ 500,00;R$ 50,00;R$ 7.285,49;R$ 0,00;Fixo 500.00 semestre
Florianópolis  - SC;R$ 500,00;R$ 50,00;R$ 4.539,64;R$ 0,00;Fixo 500.00 semestre
Florianópolis LJ 02 - SC;R$ 500,00;R$ 50,00;R$ 1.290,00;R$ 0,00;Fixo 500.00 semestre
Formiga - MG;R$ 500,00;R$ 50,00;R$ 2.210,50;R$ 0,00;Fixo 500.00 semestre
Foz do Iguaçu - PR;R$ 500,00;R$ 50,00;R$ 3.230,00;R$ 0,00;Fixo 500.00 semestre
Franca - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Francisco Beltrão - PR;R$ 500,00;R$ 50,00;R$ 9.165,53;R$ 0,00;Fixo 500.00 semestre
Goianésia - GO;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Goiânia - GO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Governador Valadares - MG;R$ 1.000,00;R$ 100,00;R$ 1.963,55;R$ 0,00;Fixo 1000.00 semestre
Guanambi - BA;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Guapimirim - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Guarapari - ES;R$ 500,00;R$ 50,00;R$ 1.200,00;R$ 0,00;Fixo 500.00 semestre
Guarapuava - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Guaratinguetá - SP;R$ 500,00;R$ 50,00;R$ 96,00;R$ 0,00;Fixo 500.00 semestre
Guariba - SP;R$ 400,00;R$ 40,00;R$ 0,00;R$ 0,00;Fixo 400.00 semestre
Guarujá  - SP;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Guarulhos - SP;R$ 1.000,00;R$ 100,00;R$ 1.893,00;R$ 0,00;Fixo 1000.00 semestre
Guaxupé - MG;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Imperatriz - MA;R$ 500,00;R$ 50,00;R$ 19.891,50;R$ 0,00;Fixo 500.00 semestre
Indaiatuba - SP;R$ 500,00;R$ 50,00;R$ 14.565,64;R$ 0,00;Fixo 500.00 semestre
Interlagos - SP;R$ 750,00;R$ 75,00;R$ 4.130,00;R$ 0,00;Fixo 750.00 semestre
Ipatinga - MG;R$ 500,00;R$ 50,00;R$ 2.132,00;R$ 0,00;Fixo 500.00 semestre
Irajá - RJ;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Irecê - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Itabira - MG;R$ 500,00;R$ 50,00;R$ 3.049,07;R$ 0,00;Fixo 500.00 semestre
Itaboraí - RJ;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Itabuna - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Itaguaí - RJ;R$ 500,00;R$ 59,92;R$ 2.995,98;R$ 0,00;Fixo 500.00 semestre
Itaim Paulista - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Itajubá - MG;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Itália - ITA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Itanhaem - SP;R$ 500,00;R$ 50,00;R$ 3.012,66;R$ 0,00;Fixo 500.00 semestre
Itaperuna - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Itapetininga - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Itaquera - SP;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Itatiba - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Itu - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Ituiutaba - MG;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Jabaquara - SP;R$ 500,00;R$ 50,00;R$ 2.439,00;R$ 0,00;Fixo 500.00 semestre
Jaboatão dos Guararapes - PE;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Jacarepaguá - RJ;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Jaguariúna - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Jales - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Jaraguá - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Jardim Miriam - SP;R$ 500,00;R$ 50,00;R$ 270,00;R$ 0,00;Fixo 500.00 semestre
Jaú - SP;R$ 350,00;R$ 35,00;R$ 0,00;R$ 0,00;Fixo 350.00 semestre
Jequié - BA;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
João Pessoa - PB;R$ 299,75;R$ 119,90;R$ 5.995,00;R$ 0,00;5.00% do Bruto
Joinville - SC;R$ 500,00;R$ 50,00;R$ 9.602,11;R$ 0,00;Fixo 500.00 semestre
Juazeiro - BA;R$ 500,00;R$ 78,60;R$ 3.930,00;R$ 0,00;Fixo 500.00 semestre
Juiz de Fora - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Jundiaí - SP;R$ 500,00;R$ 55,50;R$ 2.775,00;R$ 0,00;Fixo 500.00 semestre
Lages - SC;R$ 300,00;R$ 30,00;R$ 1.370,30;R$ 0,00;Fixo 300.00 semestre
Lajeado - RS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Lauro de Freitas - BA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Leblon - RJ;R$ 1.000,00;R$ 100,00;R$ 535,00;R$ 0,00;Fixo 1000.00 semestre
Liberdade - SP;R$ 1.100,00;R$ 110,00;R$ 1.228,55;R$ 0,00;Fixo 1100.00 semestre
Limeira - SP;R$ 12,75;R$ 5,10;R$ 255,00;R$ 0,00;5.00% do Bruto
Limoeiro - PE;R$ 500,00;R$ 50,00;R$ 386,70;R$ 0,00;Fixo 500.00 semestre
Lisboa - Portugal;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Londres - Inglaterra;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0.00% do Bruto
Luis Eduardo Magalhães - BA;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Macaé - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0.00% do Bruto
Maceió - AL;R$ 700,00;R$ 98,00;R$ 210,00;R$ 0,00;Fixo 700.00 semestre
Magé - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Manaus - AM;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Manaus LJ 02 - AM;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Marabá - PA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Maracanaú - CE;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Maracás - BA - Home Office;R$ 300,00;R$ 30,00;R$ 0,00;R$ 0,00;Fixo 300.00 semestre
Marica - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Marília - SP;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Maringá - PR;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Matão - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Méier - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Mogi das Cruzes - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Mogi Mirim - SP;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Monte Carmelo - MG;R$ 400,00;R$ 40,00;R$ 145,00;R$ 0,00;Fixo 400.00 semestre
Monte Sião - MG;R$ 500,00;R$ 50,00;R$ 1.940,30;R$ 0,00;Fixo 500.00 semestre
Montes Claros - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Móoca - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Natal - RN;R$ 600,00;R$ 150,00;R$ 0,00;R$ 0,00;Fixo 600.00 semestre
Niterói - RJ;R$ 500,00;R$ 64,63;R$ 3.231,30;R$ 0,00;Fixo 500.00 semestre
Niterói LJ 02 - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Nova Alvorada do Sul - MS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Nova Friburgo - RJ;R$ 1.000,00;R$ 17,90;R$ 895,00;R$ 0,00;Fixo 1000.00 semestre
Nova Iguaçu - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Novo Hamburgo - RS;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Novo Repartimento - PA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Orlândia - SP;R$ 350,00;R$ 35,00;R$ 3.643,19;R$ 0,00;Fixo 350.00 semestre
Orlando - Usa;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0.00% do Bruto
Osasco - SP;R$ 1.200,00;R$ 120,00;R$ 1.540,00;R$ 0,00;Fixo 1200.00 semestre
Ourinhos - SP;R$ 500,00;R$ 10,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Pará de Minas - MG;R$ 400,00;R$ 8,00;R$ 0,00;R$ 0,00;Fixo 400.00 semestre
Paracatú - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Paraguaçu Paulista - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Paranaguá - PR;R$ 500,00;R$ 50,00;R$ 824,00;R$ 0,00;Fixo 500.00 semestre
Paranavaí­ - PR;R$ 500,00;R$ 50,00;R$ 968,00;R$ 0,00;Fixo 500.00 semestre
Parauapebas - PA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Parnamirim - RN;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0.00% do Bruto
Pato Branco - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Patos de Minas - MG;R$ 350,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 350.00 semestre
Patrocínio - MG;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Paulo Afonso - BA;R$ 500,00;R$ 50,00;R$ 180,00;R$ 0,00;Fixo 500.00 semestre
Pedra de Guaratiba - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Penha - RJ;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Penha - SP;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Peruibe - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Petrolina - PE;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Piauí - PI;R$ 500,00;R$ 51,82;R$ 2.591,03;R$ 0,00;Fixo 500.00 semestre
Picos - PI;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Pindamonhangaba - SP;R$ 500,00;R$ 50,00;R$ 568,92;R$ 0,00;Fixo 500.00 semestre
Piracicaba - SP;R$ 500,00;R$ 50,00;R$ 3.481,00;R$ 0,00;Fixo 500.00 semestre
Pontes e Lacerda - MT;R$ 500,00;R$ 50,00;R$ 100,00;R$ 0,00;Fixo 500.00 semestre
Porangatu - GO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Porto Alegre - RS;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Porto Alegre LJ02 - RS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0.00% do Bruto
Porto Alegre LJ03 - RS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Porto Feliz - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Porto Ferreira - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Praia Grande - SP;R$ 500,00;R$ 50,00;R$ 100,00;R$ 0,00;Fixo 500.00 semestre
Presidente Prudente - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Quatros Bocas - PA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Recife - PE;R$ 500,00;R$ 24,27;R$ 1.213,30;R$ 0,00;Fixo 500.00 semestre
Recife LJ 02 - PE;R$ 1.000,00;R$ 100,00;R$ 996,00;R$ 0,00;Fixo 1000.00 semestre
Resende - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Ribeirão Pires - SP;R$ 350,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 350.00 semestre
Ribeirão Preto - SP;R$ 500,00;R$ 50,00;R$ 690,00;R$ 338,00;Fixo 500.00 semestre
Ribeirão Preto LJ 02 - SP;R$ 500,00;R$ 50,00;R$ 499,10;R$ 0,00;Fixo 500.00 semestre
Rio Claro - SP;R$ 350,00;R$ 35,00;R$ 0,00;R$ 0,00;Fixo 350.00 semestre
Rio das Ostras - RJ;R$ 1.000,00;R$ 100,00;R$ 100,00;R$ 0,00;Fixo 1000.00 semestre
Rio do Sul - SC;R$ 500,00;R$ 50,00;R$ 7.926,44;R$ 0,00;Fixo 500.00 semestre
Rio Grande - RS;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Rio Grande da Serra – SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;10.50% do Líquido
Rio Verde - GO;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
RJ - Centro;R$ 1.000,00;R$ 100,00;R$ 9.437,57;R$ 0,00;Fixo 1000.00 semestre
RJ - Conde de Bonfim;R$ 1.000,00;R$ 100,00;R$ 1.221,00;R$ 0,00;Fixo 1000.00 semestre
RJ - Ilha do Governador;R$ 1.000,00;R$ 100,00;R$ 904,00;R$ 0,00;Fixo 1000.00 semestre
RJ - Tijuca;R$ 0,00;R$ 0,00;R$ 17.518,11;R$ 0,00;0.00% do Bruto
Rolim de Moura - RO;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Rondonópolis - MT;R$ 17,50;R$ 7,00;R$ 350,00;R$ 0,00;5.00% do Bruto
Salto - SP;R$ 18,94;R$ 7,58;R$ 378,79;R$ 0,00;5.00% do Bruto
Salvador LJ 03 - BA;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Salvador Lj 04 - BA;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Santa Bárbara d´Oeste - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Santa Cruz do Sul - RS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Santa Inês - MA;R$ 500,00;R$ 50,00;R$ 825,00;R$ 0,00;Fixo 500.00 semestre
Santana de Parnaíba - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Santana do Livramento - RS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Santiago - RS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Santo Amaro - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Santo André - SP;R$ 1.000,00;R$ 19,60;R$ 980,00;R$ 0,00;Fixo 1000.00 semestre
Santo André LJ 02;R$ 500,00;R$ 50,00;R$ 1.253,00;R$ 0,00;Fixo 500.00 semestre
Santo Antônio de Pádua - RJ;R$ 500,00;R$ 50,00;R$ 1.987,40;R$ 0,00;Fixo 500.00 semestre
Santos LJ 02 - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
São Bento do Sul - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
São Bernardo do Campo - LJ 01;R$ 500,00;R$ 50,00;R$ 572,00;R$ 0,00;Fixo 500.00 semestre
São Bernardo do Campo - LJ 02;R$ 1.000,00;R$ 100,00;R$ 1.370,00;R$ 0,00;Fixo 1000.00 semestre
São Caetano do Sul - SP;R$ 500,00;R$ 50,00;R$ 1.655,26;R$ 0,00;Fixo 500.00 semestre
São Carlos - SP;R$ 300,00;R$ 30,00;R$ 0,00;R$ 0,00;Fixo 300.00 semestre
