Relatório ;0;;;;;;;
Entre ;05/10/2014 00:00:00 e 05/10/2015 23:59:59 ;tirado em 05/10/2015 12:30:05;;;;;;
Data/Hora;Ordem;Descrição;Pago;Troco;Valor;Forma;Feito;
00/00/0000 00:00:00;#374292/17;Certidão de Matricula atualizada;;;68.60;Depósito;Não;
;

00/00/0000 00:00:00;#374292/10;Certidão de Matrícula Atualizada ;;;58.40;Depósito;Não;
00/00/0000 00:00:00;#374292/16;Certidão de Matrícula Atualizada ;;;51.36;Depósito;Não;
00/00/0000 00:00:00;#374292/2;Certidão de Matrícula Atualizada ;;;96.10;Depósito;Não;
;

00/00/0000 00:00:00;#374292/39;Certidão de Matricula atualizada;;;61.10;Depósito;Não;
;

00/00/0000 00:00:00;#374292/6;Certidão de Matrícula Atualizada ;;;104.10;Depósito;Não;
00/00/0000 00:00:00;#374292/9;Certidão de Matrícula Atualizada ;;;61.10;Depósito;Não;
00/00/0000 00:00:00;#374292/28;Certidão de Matrícula Atualizada ;;;47.36;Depósito;Não;
00/00/0000 00:00:00;#374292/29;Certidão de Matrícula Atualizada ;;;68.00;Depósito;Não;
00/00/0000 00:00:00;#374292/7;Certidão de Matrícula Atualizada ;;;103.40;Depósito;Não;
;

00/00/0000 00:00:00;#374292/23;Certidão de Matrícula Atualizada com Neg;;;54.44;Depósito;Não;
00/00/0000 00:00:00;#374292/26;Certidão de Matrícula Atualizada com Neg;;;136.64;Depósito;Não;
00/00/0000 00:00:00;#374292/25;Certidão de Matrícula Atualizada com Neg;;;54.44;Depósito;Não;
00/00/0000 00:00:00;#374292/22;Certidão de Matrícula Atualizada com Neg;;;54.44;Depósito;Não;
00/00/0000 00:00:00;#374292/24;Certidão de Matrícula Atualizada com Neg;;;54.44;Depósito;Não;
00/00/0000 00:00:00;#374292/21;Certidão de Matrícula Atualizada com Neg;;;54.44;Depósito;Não;
00/00/0000 00:00:00;#374292/25;Certidão de Matrícula Atualizada com Neg;;;-0.04;Depósito;Não;
;

00/00/0000 00:00:00;#374292/47;MATRICULA;;;53.94;Depósito;Não;
00/00/0000 00:00:00;#374292/42;MATRICULA;;;53.94;Depósito;Não;
00/00/0000 00:00:00;#374292/48;MATRICULA;;;76.94;Depósito;Não;
00/00/0000 00:00:00;#374292/49;MATRICULA;;;53.94;Depósito;Não;
00/00/0000 00:00:00;#374292/45;MATRICULA;;;68.10;Depósito;Não;
00/00/0000 00:00:00;#374292/5;MATRICULA;;;45.85;Depósito;Não;
00/00/0000 00:00:00;#374292/41;MATRICULA;;;51.86;Depósito;Não;
00/00/0000 00:00:00;#374292/1;MATRICULA;;;57.25;Depósito;Não;
00/00/0000 00:00:00;#374292/15;MATRICULA;;;61.27;Depósito;Não;
;

00/00/0000 00:00:00;#374292/19;MATRICULAS - #374292/19 E 20;;;51.87;Depósito;Não;
00/00/0000 00:00:00;#374292/20;MATRICULAS - #374292/19 E 20;;;51.87;Depósito;Não;
;;;;Total;1755.15;;;
