Referência;12/2012;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Dracena - SP;R$ 500,00;R$ 13,66;R$ 683,05;R$ 0,00;Fixo 500.00 semestre
Duque de Caxias - RJ;R$ 49,02;R$ 19,61;R$ 980,33;R$ 0,00;5.00% do Bruto
Embu das Artes - SP;R$ 300,00;R$ 19,97;R$ 998,25;R$ 0,00;Fixo 300.00 semestre
Extrema - MG;R$ 500,00;R$ 1,96;R$ 98,00;R$ 0,00;Fixo 500.00 semestre
Fazenda Rio Grande - PR;R$ 500,00;R$ 0,80;R$ 40,00;R$ 0,00;Fixo 500.00 semestre
Feira de Santana - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Formosa - GO;R$ 500,00;R$ 4,09;R$ 204,59;R$ 0,00;Fixo 500.00 semestre
Foz do Iguaçu - PR;R$ 1.750,00;R$ 123,98;R$ 6.199,24;R$ 0,00;Fixo 1750.00 semestre
Franca - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Goiânia - GO;R$ 7,64;R$ 3,05;R$ 4.777,73;R$ 4.410,00;5.00% do Líquido
Governador Valadares - MG;R$ 1.000,00;R$ 5,17;R$ 258,60;R$ 0,00;Fixo 1000.00 semestre
Guarapari - ES;R$ 40,85;R$ 16,34;R$ 817,00;R$ 0,00;5.00% do Bruto
Guaratinguetá - SP;R$ 500,00;R$ 23,67;R$ 1.183,60;R$ 0,00;Fixo 500.00 semestre
Guarujá  - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Ilhéus - BA;R$ 103,70;R$ 41,48;R$ 2.073,90;R$ 0,00;5.00% do Bruto
Imperatriz - MA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Indaiatuba - SP;R$ 173,37;R$ 69,35;R$ 3.467,30;R$ 0,00;5.00% do Bruto
Itaboraí - RJ;R$ 500,00;R$ 4,46;R$ 223,13;R$ 0,00;Fixo 500.00 semestre
Itaguaí - RJ;R$ 220,81;R$ 88,32;R$ 4.416,16;R$ 0,00;5.00% do Bruto
Itajubá - MG;R$ 500,00;R$ 15,20;R$ 760,00;R$ 0,00;Fixo 500.00 semestre
Itaperuna - RJ;R$ 24,50;R$ 9,80;R$ 490,00;R$ 0,00;5.00% do Bruto
Itapetininga - SP;R$ 200,00;R$ 35,44;R$ 1.772,06;R$ 0,00;Fixo 200.00 semestre
Itapeva - SP;R$ 500,00;R$ 26,21;R$ 1.310,30;R$ 0,00;Fixo 500.00 semestre
Itapira - SP;R$ 500,00;R$ 8,90;R$ 445,00;R$ 0,00;Fixo 500.00 semestre
Itatiba - SP;R$ 500,00;R$ 17,94;R$ 897,10;R$ 0,00;Fixo 500.00 semestre
Itu - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Jacareí - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Jequié - BA;R$ 500,00;R$ 49,14;R$ 2.457,00;R$ 0,00;Fixo 500.00 semestre
João Pessoa - PB;R$ 91,06;R$ 36,42;R$ 1.821,10;R$ 0,00;5.00% do Bruto
Juazeiro - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Juína - MT;R$ 200,00;R$ 62,58;R$ 3.128,80;R$ 0,00;Fixo 200.00 semestre
Juiz de Fora - MG;R$ 135,75;R$ 54,30;R$ 2.715,00;R$ 0,00;5.00% do Bruto
Jundiaí - SP;R$ 118,10;R$ 47,24;R$ 2.362,00;R$ 0,00;5.00% do Bruto
Lauro de Freitas - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Lavras - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Limeira - SP;R$ 65,34;R$ 26,13;R$ 1.306,74;R$ 0,00;5.00% do Bruto
Marília - SP;R$ 1.000,00;R$ 40,11;R$ 2.005,70;R$ 0,00;Fixo 1000.00 semestre
Maringá - PR;R$ 69,20;R$ 27,68;R$ 1.383,94;R$ 0,00;5.00% do Bruto
Matão - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Mauá - SP;R$ 500,00;R$ 2,40;R$ 120,00;R$ 0,00;Fixo 500.00 semestre
Mesquita - RJ;R$ 100,00;R$ 18,51;R$ 925,70;R$ 0,00;Fixo 100.00 semestre
Mogi Guaçu - SP;R$ 0,00;R$ 2,20;R$ 110,00;R$ 0,00;Fixo 0.00 semestre
Mogi Mirim - SP;R$ 500,00;R$ 2,04;R$ 101,80;R$ 0,00;Fixo 500.00 semestre
Monte Sião - MG;R$ 28,00;R$ 11,20;R$ 560,00;R$ 0,00;5.00% do Bruto
Niterói - RJ;R$ 7,15;R$ 2,86;R$ 142,97;R$ 0,00;5.00% do Bruto
Nova Friburgo - RJ;R$ 1.000,00;R$ 37,88;R$ 1.894,04;R$ 0,00;Fixo 1000.00 semestre
Osasco - SP;R$ 303,00;R$ 121,20;R$ 6.060,00;R$ 0,00;5.00% do Bruto
Ourinhos - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
