Referência;12/2013;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Açailandia - MA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Águas de Lindóia - SP;R$ 300,00;R$ 30,00;R$ 0,00;R$ 0,00;0.00% do Bruto
Alagoinhas - BA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Amapá - AP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Americana - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Américo Brasiliense - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Anália Franco - SP;R$ 800,00;R$ 80,00;R$ 175,00;R$ 0,00;Fixo 800.00 semestre
Ananindeua - PA;R$ 500,00;R$ 54,90;R$ 2.745,00;R$ 0,00;Fixo 500.00 semestre
Angra dos Reis - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Aparecida de Goiânia - GO;R$ 700,00;R$ 70,00;R$ 4.164,01;R$ 0,00;Fixo 700.00 semestre
Aracaju - SE;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Araçatuba - SP;R$ 30,58;R$ 12,23;R$ 611,59;R$ 0,00;5.00% do Bruto
Araguaína - TO;R$ 500,00;R$ 13,34;R$ 667,00;R$ 0,00;Fixo 500.00 semestre
Araguari - MG;R$ 500,00;R$ 29,48;R$ 1.474,00;R$ 0,00;Fixo 500.00 semestre
Araraquara - SP;R$ 37,45;R$ 14,98;R$ 749,00;R$ 0,00;5.00% do Bruto
Araras - SP;R$ 500,00;R$ 4,17;R$ 208,41;R$ 0,00;Fixo 500.00 semestre
Araruama - RJ;R$ 600,00;R$ 7,08;R$ 354,00;R$ 0,00;Fixo 600.00 semestre
Araxá - MG;R$ 500,00;R$ 46,91;R$ 2.345,73;R$ 0,00;Fixo 500.00 semestre
Assis - SP;R$ 500,00;R$ 59,92;R$ 2.995,75;R$ 0,00;Fixo 500.00 semestre
Avaré - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bacabal - MA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Balneário Camboriú - SC;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Balsas - MA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Barra da Tijuca - RJ;R$ 875,00;R$ 10,60;R$ 530,00;R$ 0,00;Fixo 875.00 semestre
Barretos - SP;R$ 231,78;R$ 92,71;R$ 4.635,59;R$ 0,00;5.00% do Bruto
Barueri - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Barueri Lj 02 - SP;R$ 1.250,00;R$ 125,00;R$ 8.561,30;R$ 0,00;Fixo 1250.00 semestre
Batatais - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bauru - SP;R$ 302,29;R$ 57,58;R$ 7.024,01;R$ 3.829,00;10.50% do Líquido
Bebedouro - SP;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Belém - PA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Belo Horizonte LJ 01 - MG;R$ 4,25;R$ 1,70;R$ 85,00;R$ 0,00;5.00% do Bruto
Betim - MG;R$ 74,67;R$ 29,87;R$ 1.493,40;R$ 0,00;5.00% do Bruto
Birigui - SP;R$ 500,00;R$ 29,20;R$ 1.460,00;R$ 0,00;Fixo 500.00 semestre
Blumenau - SC;R$ 23,92;R$ 9,57;R$ 478,43;R$ 0,00;5.00% do Bruto
Boa Vista - RR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Boituva - SP;R$ 500,00;R$ 20,96;R$ 1.047,80;R$ 0,00;Fixo 500.00 semestre
Bom Jesus da Lapa - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Botucatu - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bragança Paulista - SP;R$ 43,50;R$ 17,40;R$ 870,00;R$ 0,00;5.00% do Bruto
Brás - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Brasília - LJ 02  - DF;R$ 1.000,00;R$ 16,75;R$ 837,70;R$ 0,00;Fixo 1000.00 semestre
Brasília - LJ 03  - DF;R$ 1.500,00;R$ 150,00;R$ 2.661,66;R$ 0,00;Fixo 1500.00 semestre
Bruxelas - Bélgica;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Cabo de Santo Agostinho - PE;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Cabo Frio - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Caçapava - SP;R$ 500,00;R$ 50,00;R$ 467,20;R$ 0,00;Fixo 500.00 semestre
Caeté - MG;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Camaçari - BA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Camaçari LJ 02 - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Campinas - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Campinas LJ 03 - SP;R$ 1.000,00;R$ 2,96;R$ 147,90;R$ 0,00;Fixo 1000.00 semestre
Campo Grande - RJ;R$ 500,00;R$ 50,00;R$ 2.982,00;R$ 0,00;Fixo 500.00 semestre
Campo Mourão - PR;R$ 500,00;R$ 7,69;R$ 384,35;R$ 0,00;Fixo 500.00 semestre
Campos do Jordão - SP;R$ 300,00;R$ 30,00;R$ 111,33;R$ 0,00;Fixo 300.00 semestre
Campos dos Goytacazes - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Canaã dos Carajás - PA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Canoas - RS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Caraguatatuba - SP;R$ 500,00;R$ 31,54;R$ 1.577,00;R$ 0,00;Fixo 500.00 semestre
Carrão - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Uruçui - PI;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Caruaru - PE;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Cascavel - PR;R$ 3,50;R$ 1,40;R$ 70,00;R$ 0,00;5.00% do Bruto
Catalão - GO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Catanduva - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Caxias do Sul - RS;R$ 500,00;R$ 50,00;R$ 4.046,00;R$ 0,00;Fixo 500.00 semestre
Ceará - CE;R$ 1.000,00;R$ 22,07;R$ 1.103,60;R$ 0,00;Fixo 1000.00 semestre
Chapadinha - MA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Chapecó - SC;R$ 105,70;R$ 42,28;R$ 2.114,00;R$ 0,00;5.00% do Bruto
