Referência;05/2012;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Campinas LJ 03 - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Amapá - AP;R$ 2,50;R$ 1,00;R$ 50,00;R$ 0,00;5.00% do Bruto
Amazonas - AM;R$ 21,25;R$ 8,50;R$ 425,00;R$ 0,00;5.00% do Bruto
Araçatuba - SP;R$ 19,03;R$ 7,61;R$ 380,53;R$ 0,00;5.00% do Bruto
Araguaína - TO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Araraquara - SP;R$ 70,14;R$ 28,05;R$ 1.402,70;R$ 0,00;5.00% do Bruto
Atibaia - SP;R$ 500,00;R$ 18,12;R$ 906,00;R$ 0,00;Fixo 500.00 semestre
Barretos - SP e Bebedouro-SP;R$ 49,80;R$ 19,92;R$ 996,00;R$ 0,00;5.00% do Bruto
Barueri - SP;R$ 58,77;R$ 23,51;R$ 1.175,46;R$ 0,00;5.00% do Bruto
Batatais - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Bauru - SP;R$ 246,16;R$ 46,89;R$ 6.131,26;R$ 3.511,00;10.50% do Líquido
Belém - PA;R$ 500,00;R$ 3,20;R$ 160,00;R$ 0,00;Fixo 500.00 semestre
Belo Horizonte - MG;R$ 248,75;R$ 99,50;R$ 4.975,00;R$ 0,00;5.00% do Bruto
Betim - MG;R$ 82,95;R$ 33,18;R$ 1.659,00;R$ 0,00;5.00% do Bruto
Birigui - SP;R$ 23,63;R$ 9,45;R$ 472,67;R$ 0,00;5.00% do Bruto
Blumenau - SC;R$ 9,65;R$ 3,86;R$ 193,00;R$ 0,00;5.00% do Bruto
Bragança Paulista - SP;R$ 139,65;R$ 55,86;R$ 2.793,00;R$ 0,00;5.00% do Bruto
Brasília - DF;R$ 23,62;R$ 9,45;R$ 472,45;R$ 0,00;5.00% do Bruto
Cabo Frio - RJ;R$ 40,50;R$ 16,20;R$ 810,00;R$ 0,00;5.00% do Bruto
Cajamar - SP;R$ 19,03;R$ 7,61;R$ 380,62;R$ 0,00;5.00% do Bruto
Campinas - SP;R$ 554,64;R$ 221,86;R$ 11.092,84;R$ 0,00;5.00% do Bruto
Campinas LJ 02 - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Campo Grande - MS;R$ 25,45;R$ 10,18;R$ 509,00;R$ 0,00;5.00% do Bruto
Campo Mourão - PR;R$ 69,12;R$ 27,65;R$ 1.382,39;R$ 0,00;5.00% do Bruto
Capivari - SP;R$ 16,00;R$ 6,40;R$ 320,00;R$ 0,00;5.00% do Bruto
Caraguatatuba - SP;R$ 100,31;R$ 40,12;R$ 2.006,20;R$ 0,00;5.00% do Bruto
Cascavel - PR;R$ 22,11;R$ 8,84;R$ 442,10;R$ 0,00;5.00% do Bruto
Chapecó - SC;R$ 149,50;R$ 59,80;R$ 2.990,00;R$ 0,00;5.00% do Bruto
Curitiba - PR;R$ 78,62;R$ 31,45;R$ 1.572,30;R$ 0,00;5.00% do Bruto
Diadema - SP;R$ 234,25;R$ 93,70;R$ 4.685,00;R$ 0,00;5.00% do Bruto
Duque de Caxias - RJ;R$ 7,45;R$ 2,98;R$ 149,00;R$ 0,00;5.00% do Bruto
Funchal - São Paulo - SP;R$ 516,57;R$ 206,63;R$ 10.331,44;R$ 0,00;Fixo 500.00 semestre
Goiânia - GO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Líquido
Guarapari - ES;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Guarulhos - SP;R$ 500,00;R$ 99,80;R$ 4.990,00;R$ 0,00;Fixo 500.00 semestre
Hortolândia - SP;R$ 4,54;R$ 1,82;R$ 90,80;R$ 0,00;5.00% do Bruto
Ilhéus - BA;R$ 24,50;R$ 9,80;R$ 490,00;R$ 0,00;5.00% do Bruto
Indaiatuba - SP;R$ 139,60;R$ 55,84;R$ 2.792,00;R$ 0,00;5.00% do Bruto
Itaguaí - RJ;R$ 115,30;R$ 46,12;R$ 2.306,00;R$ 0,00;5.00% do Bruto
Itaperuna - RJ;R$ 15,00;R$ 6,00;R$ 300,00;R$ 0,00;5.00% do Bruto
Itapetininga - SP;R$ 500,00;R$ 23,00;R$ 1.149,88;R$ 0,00;Fixo 500.00 semestre
Itu - SP;R$ 31,00;R$ 12,40;R$ 620,00;R$ 0,00;5.00% do Bruto
Jacareí - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
João Pessoa - PB;R$ 62,48;R$ 24,99;R$ 1.249,50;R$ 0,00;5.00% do Bruto
Juiz de Fora - MG;R$ 95,85;R$ 38,34;R$ 1.917,00;R$ 0,00;5.00% do Bruto
Jundiaí - SP;R$ 173,15;R$ 69,26;R$ 3.463,00;R$ 0,00;5.00% do Bruto
Lages - SC;R$ 500,00;R$ 5,94;R$ 297,00;R$ 0,00;Fixo 500.00 semestre
Lauro de Freitas - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Limeira - SP;R$ 30,72;R$ 12,29;R$ 614,48;R$ 0,00;5.00% do Bruto
Londrina - PR;R$ 132,23;R$ 25,19;R$ 2.748,00;R$ 1.365,00;10.50% do Líquido
Lucas do Rio Verde - MT;R$ 500,00;R$ 18,60;R$ 930,00;R$ 0,00;Fixo 500.00 semestre
Marajoara - São Paulo - SP;R$ 500,00;R$ 137,84;R$ 6.891,90;R$ 0,00;Fixo 500.00 semestre
Maringá - PR;R$ 34,32;R$ 13,73;R$ 686,40;R$ 0,00;5.00% do Bruto
Mogi Guaçu - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Monte Sião - MG;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Montes Claros - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Niterói - RJ;R$ 17,96;R$ 7,18;R$ 359,16;R$ 0,00;5.00% do Bruto
Nova Iguaçu - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Nova Lima - MG;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Olímpia - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Osasco - SP;R$ 591,82;R$ 236,73;R$ 11.836,35;R$ 0,00;5.00% do Bruto
Ourinhos - SP;R$ 7,00;R$ 2,80;R$ 140,00;R$ 0,00;5.00% do Bruto
Pará - PA;R$ 44,05;R$ 17,62;R$ 881,00;R$ 0,00;5.00% do Bruto
Paracatu - MG;R$ 38,00;R$ 15,20;R$ 760,00;R$ 0,00;5.00% do Bruto
Paraíba - PB;R$ 500,00;R$ 11,80;R$ 590,00;R$ 0,00;Fixo 500.00 semestre
Parauapebas - PA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Patos de Minas - MG;R$ 19,42;R$ 7,77;R$ 388,35;R$ 0,00;5.00% do Bruto
Patrocínio - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Perdizes - São Paulo - SP;R$ 500,00;R$ 90,62;R$ 4.531,02;R$ 0,00;Fixo 500.00 semestre
Piauí - PI;R$ 500,00;R$ 16,09;R$ 804,25;R$ 0,00;Fixo 500.00 semestre
Piracicaba - SP;R$ 257,01;R$ 102,80;R$ 10.644,16;R$ 5.025,00;5.00% do Líquido
Poços de Caldas - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Ponta Grossa - PR;R$ 204,73;R$ 81,89;R$ 4.094,54;R$ 0,00;5.00% do Bruto
Pontes e Lacerda - MT;R$ 91,40;R$ 36,56;R$ 1.828,00;R$ 0,00;5.00% do Bruto
Porto Alegre - RS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;10.50% do Líquido
Porto Ferreira - SP;R$ 19,50;R$ 7,80;R$ 390,00;R$ 0,00;5.00% do Bruto
