0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista , 1048 12º andar                           BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    15072010                                                                                                                                                                                                                                                                                                                                                                                                000001
1006420932613DIR_CREDIT     NIVEL CONSTRUCOES LTDA                  007810468000190 PRFEITURA MUNICIPAL DE IGUATU          AV RUI BARBOSA, S/N - SAO SEBASTIAO     IGUATU                                  63500000CE2316500001                                                                                                                                          011041485           160620100000014185            07072010000403EXECUÇAO DE OBRAS E SERVIÇOS DE ENGENHARIA PARA A CONSTRUÇAO DO CENTRO DE CONVENÇOES NO MUNICIPIO DE IGUATU.                                                                                                                                    002960450000151105798-1      000002
1015421013503DIR_CREDIT     CONSORCIO CMR4/ARCHEL                   092924901000198DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOSRUA 24 DE OUTUBRO, 200                  PORTO ALEGRE                            90510010RS2318100001                                                                                                                                          481016057           03112009000001137903.080314.0907072010000404construção do emissário de esgoto sanitário ebe cristal/ete serraria.                                                                                                                                                                           011428290000195105798-2      000003
1018421017409DIR_CREDIT     EPLAN ENGENHARIA PLAN E ELET LTDA       005914650000166CENTRAIS ELETRICAS DE RONDONIA S.A-CERONAV.DOS IMIGRANTES,4137,DIST.INDUSTRIAL  PORTO VELHO                             76821063RO2319100001                                                                                                                                          011040541           091120090000010832PR/085/2009 08072010000407EXECUÇÃO DE OBRAS DE ENGENHARIA PARA LEVANTAMENTO DE DADOS,ELABORAÇÃO DE PROPOSTAS DE PROJETOS EXECUTIVOS E EXECUÇÃO DE OBRAS DE ELETRIFICAÇÃO RURAL NO ESTADO DO ACRE,FORNECIMENTO INTEGRAL DE MATERIAIS,EQUIP.E MAO DE OBRA.                  002838407000118105798-3      000004
1043421001651COBR_CAUC_COR  ENGARRAFAMENTO COROA LTDA               004782925000192DISTR. DE BEB. E ALIMENTOS PARAHYB      AV. LIBERDADE,1979                      BAYEUX                                  58306000PB23213000080055368410834C      17062010900BRADESCO S/A        2608201000000000000130990CC                                                                                                                                                                                                                                                                                                                                                                                           105798-17     000018
1043421001651COBR_CAUC_COR  ENGARRAFAMENTO COROA LTDA               004782925000192DISTR. DE BEB. E ALIMENTOS PARAHYB      AV. LIBERDADE,1979                      BAYEUX                                  58306000PB23213000090055369210834B      17062010900BRADESCO S/A        1608201000000000000130990CC                                                                                                                                                                                                                                                                                                                                                                                           105798-18     000019
1043421001651COBR_CAUC_COR  ENGARRAFAMENTO COROA LTDA               002920449000101N. D. COMERCIO LTDA                     RODOVIA BR 101 SUL KM 20 LOTE C ,0      JABOATAO GUARAR                         54345160PE2321400001005540794936        21062010900BRADESCO S/A        3107201000000000003976560CC                                                                                                                                                                                                                                                                                                                                                                                           105798-19     000020
1043421001651COBR_CAUC_COR  ENGARRAFAMENTO COROA LTDA               002920449000101N. D. COMERCIO LTDA                     RODOVIA BR 101 SUL KM 20 LOTE C ,0      JABOATAO GUARAR                         54345160PE2321400002005541334935        21062010900BRADESCO S/A        3107201000000000001089384CC                                                                                                                                                                                                                                                                                                                                                                                           105798-20     000021
1043421001651COBR_CAUC_COR  ENGARRAFAMENTO COROA LTDA               002023039000150M. GOMES DE OLIVEIRA E CIA LTDA         R. BENEDITO LEITE,1194                  IMPERATRIZ                              65903290MA2321500001005545322944        23062010900BRADESCO S/A        0708201000000000007450000CC                                                                                                                                                                                                                                                                                                                                                                                           105798-21     000022
1043421001651COBR_CAUC_BIC  ENGARRAFAMENTO COROA LTDA               007575924000165COMERCIAL A. D. S. LTDA                 R. PRES. PRUDENTE DE MORAIS,146         MACEIO                                  57017130AL232160000100550651521B        04062010017MACEIO              1707201000000000001696497CC                                                                                                                                                                                                                                                                                                                                                                                           105798-22     000023
1043421001651COBR_CAUC_BIC  ENGARRAFAMENTO COROA LTDA               007575924000165COMERCIAL A. D. S. LTDA                 R. PRES. PRUDENTE DE MORAIS,146         MACEIO                                  57017130AL232160000200550669521C        04062010017MACEIO              2707201000000000001696497CC                                                                                                                                                                                                                                                                                                                                                                                           105798-23     000024
1043421001651COBR_CAUC_BIC  ENGARRAFAMENTO COROA LTDA               007575924000165COMERCIAL A. D. S. LTDA                 R. PRES. PRUDENTE DE MORAIS,146         MACEIO                                  57017130AL232160000300553374547C        17062010017MACEIO              2008201000000000000153484CC                                                                                                                                                                                                                                                                                                                                                                                           105798-24     000025
1043421001651COBR_CAUC_BIC  ENGARRAFAMENTO COROA LTDA               007575924000165COMERCIAL A. D. S. LTDA                 R. PRES. PRUDENTE DE MORAIS,146         MACEIO                                  57017130AL232160000400553382547B        17062010017MACEIO              1008201000000000000153485CC                                                                                                                                                                                                                                                                                                                                                                                           105798-25     000026
1043421001651COBR_CAUC_BIC  ENGARRAFAMENTO COROA LTDA               007575924000165COMERCIAL A. D. S. LTDA                 R. PRES. PRUDENTE DE MORAIS,146         MACEIO                                  57017130AL232160000500553391547A        17062010017MACEIO              3107201000000000000153531CC                                                                                                                                                                                                                                                                                                                                                                                           105798-26     000027
1043421001651COBR_CAUC_BIC  ENGARRAFAMENTO COROA LTDA               007575924000165COMERCIAL A. D. S. LTDA                 R. PRES. PRUDENTE DE MORAIS,146         MACEIO                                  57017130AL232160000600553404548C        17062010017MACEIO              2008201000000000001696497CC                                                                                                                                                                                                                                                                                                                                                                                           105798-27     000028
1043421001651COBR_CAUC_BIC  ENGARRAFAMENTO COROA LTDA               007575924000165COMERCIAL A. D. S. LTDA                 R. PRES. PRUDENTE DE MORAIS,146         MACEIO                                  57017130AL232160000700553412548B        17062010017MACEIO              1008201000000000001696497CC                                                                                                                                                                                                                                                                                                                                                                                           105798-28     000029
1043421001651COBR_CAUC_BIC  ENGARRAFAMENTO COROA LTDA               007575924000165COMERCIAL A. D. S. LTDA                 R. PRES. PRUDENTE DE MORAIS,146         MACEIO                                  57017130AL232160000800553421548A        17062010017MACEIO              3107201000000000001697006CC                                                                                                                                                                                                                                                                                                                                                                                           105798-29     000030
1007421009131COBR_CAUC_COR  KASINSKI FABRICADORA DE VEIC LTDA       001042740000153ALESSANDRO VIANA DE FREITAS ME          AV PRESIDENTE KENEDY, 2975              CURITIBA                                80610010PR232170000109979297F010065571  28062010900BRADESCO S/A        2709201000000000015604665CC                                                                                                                                                                                                                                                                                                                                                                                           105933-1      000031
9000030                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000032
