0REMESSANOTIFICA«√O ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2∫ andar  Itaim Bibi                    S„o Paulo                     04538132SPBicbanco S/A                                                                    22022013                                                                                                                                                                                                                                                                                                                                                                                                000001
1018421034826COBR_CAUC_BIC  LACEL LATICINIOS CERES LTDA             011596442003427CARVALHO E FERNANDES LTDA               AV DEP PAULO FERRAZ N∫4.888 GALPAO:03   TERESINA                                64078820PI404730000103096401003546      06022013041TERESINA            0804201300000000026600000CC                                                                                                                                                                                                                                                                                                                                                                                           222996-15     000020
1018421034826COBR_CAUC_BIC  LACEL LATICINIOS CERES LTDA             011596442003427CARVALHO E FERNANDES LTDA               AV DEP PAULO FERRAZ N∫4.888 GALPAO:03   TERESINA                                64078820PI404730000203096410003549      06022013041TERESINA            1204201300000000026600000CC                                                                                                                                                                                                                                                                                                                                                                                           222996-16     000021
1018421034826COBR_CAUC_BIC  LACEL LATICINIOS CERES LTDA             011596442003427CARVALHO E FERNANDES LTDA               AV DEP PAULO FERRAZ N∫4.888 GALPAO:03   TERESINA                                64078820PI404730000303096428003593      16022013041TERESINA            0205201300000000024510000CC                                                                                                                                                                                                                                                                                                                                                                                           222996-17     000022
1021421012733COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       009358108000710NOVA PONTOCOM COMERCIO ELETRONICO       RUA GOMES DE CARVALHO, 1609             S„O PAULO                               04547006SP4047700001063717410000988854  28012013007PAULISTA            1904201300000000012246030CC                                                                                                                                                                                                                                                                                                                                                                                           222996-18     000023
1021421012733COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       009358108000710NOVA PONTOCOM COMERCIO ELETRONICO       RUA GOMES DE CARVALHO, 1609             S„O PAULO                               04547006SP4047700002063720540000983719  23012013007PAULISTA            1204201300000000010068782CC                                                                                                                                                                                                                                                                                                                                                                                           222996-19     000024
1021421012733COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       009358108000710NOVA PONTOCOM COMERCIO ELETRONICO       RUA GOMES DE CARVALHO, 1609             S„O PAULO                               04547006SP4047700003063720890000985452  24012013007PAULISTA            1204201300000000010745410CC                                                                                                                                                                                                                                                                                                                                                                                           222996-20     000025
1020421001652COBR_CAUC_BIC  SANTHER FAB PAP STA THEREZINHA S/A      004641376003828SUPERMERCADOS BH COM DE ALIMENTOS       AV GERALDO ROCHA, 200                   CONTAGEM                                32183054MG404750000106295260044704901   11022013019BELO HORIZONTE      1803201300000000010833460CC                                                                                                                                                                                                                                                                                                                                                                                           222996-21     000026
1020421001652COBR_CAUC_COR  SANTHER FAB PAP STA THEREZINHA S/A      066471517000924DPC DISTRIBUIDOR ATACADISTA S/A         RODOVIA MG 329 KM 1,8                   CARATINGA                               35303136MG404760000106295278044854901   17022013800UNIBANCO S/A        0104201300000000012468849CC                                                                                                                                                                                                                                                                                                                                                                                           222996-22     000027
1031421009993COBR_CAUC_BIC  VAMOL INDUSTRIA MOVELEIRA LTDA          007105743001651POLO DO ELETRO COMERCIAL DE MOVEIS      CENTRAL 3,401                           MARACANAU                               61901410CE40478000010517889287258-1/1   15022013003CENTRO              1803201300000000010505225CC                                                                                                                                                                                                                                                                                                                                                                                           222996-23     000028
9000027                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000029
