0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    28092012                                                                                                                                                                                                                                                                                                                                                                                                000001
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           033664228000135USINA BARRALCOOL S A                    ROD MT 246 DISTRITO INDUSTRIAL BR       BARRA DO BUGRES                         78390000MT378300000106354331191331-2-2  03092012900BRADESCO S/A        2010201200000000054000000CC                                                                                                                                                                                                                                                                                                                                                                                           196317-1      000002
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           044330975002288USINA COLOMBO S A - ACUCAR E ALCOO      EST MUN PALESTINA A PONTES GESTAL PONTALPALESTINA                               15470000SP378310000106354340188993-3-3  11092012900BRADESCO S/A        2510201200000000087500000CC                                                                                                                                                                                                                                                                                                                                                                                           196317-2      000003
1007420931444COBR_CAUC_BIC  PLASINCO LTDA                           044603447000120AMPHENOL TFC DO BRASIL LTDA.            ROD. GOV. PER. BARROS,340-KM 121.5      CAMPINAS                                13098300SP37832000010145189722908       11092012021CAMPINAS            0910201200000000030008160CC                                                                                                                                                                                                                                                                                                                                                                                           196317-3      000004
1007420931444COBR_CAUC_BIC  PLASINCO LTDA                           061150751000260PRSMIAN ENERGIA CABOS E SIST BRAS       AV ALEXANDRE GUSMAO ,397                STO ANDRE                               09110900SP37833000010145188922937       12092012038ABC                 0111201200000000039636730CC                                                                                                                                                                                                                                                                                                                                                                                           196317-4      000005
1007420931444COBR_CAUC_BIC  PLASINCO LTDA                           061276754000163POLIRON CABOS ELETRICOS ESPECIAIS       AV MARIA LEONOR ,1222                   DIADEMA                                 09920080SP37834000010145191922896       10092012038ABC                 1110201200000000051164729CC                                                                                                                                                                                                                                                                                                                                                                                           196317-5      000006
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      014695926000153FABRICIO DA CONCEICAO LIMA              RUA PAULA BUENO,190-CONJ.43             CAMPINAS                                13076061SP37851000010977412014812/3     31072012021CAMPINAS            2910201200000000000663811CC                                                                                                                                                                                                                                                                                                                                                                                           196317-6      000007
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      014695926000153FABRICIO DA CONCEICAO LIMA              RUA PAULA BUENO,190-CONJ.43             CAMPINAS                                13076061SP37851000020977413814812/2     31072012021CAMPINAS            1810201200000000000663400CC                                                                                                                                                                                                                                                                                                                                                                                           196317-7      000008
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      014695926000153FABRICIO DA CONCEICAO LIMA              RUA PAULA BUENO,190-CONJ.43             CAMPINAS                                13076061SP37851000030977414614812/1     31072012021CAMPINAS            0510201200000000000663400CC                                                                                                                                                                                                                                                                                                                                                                                           196317-8      000009
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      014695926000153FABRICIO DA CONCEICAO LIMA              RUA PAULA BUENO,190-CONJ.43             CAMPINAS                                13076061SP37851000040977486314774/2     30072012021CAMPINAS            3009201200000000001321100CC                                                                                                                                                                                                                                                                                                                                                                                           196317-9      000010
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      014695926000153FABRICIO DA CONCEICAO LIMA              RUA PAULA BUENO,190-CONJ.43             CAMPINAS                                13076061SP37851000050977487114774/3     30072012021CAMPINAS            2509201200000000001321100CC                                                                                                                                                                                                                                                                                                                                                                                           196317-10     000011
