0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    28092012                                                                                                                                                                                                                                                                                                                                                                                                000001
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      014695926000153FABRICIO DA CONCEICAO LIMA              RUA PAULA BUENO,190-CONJ.43             CAMPINAS                                13076061SP37851000060977502914774/4     30072012021CAMPINAS            1610201200000000001321100CC                                                                                                                                                                                                                                                                                                                                                                                           196317-11     000012
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      014695926000153FABRICIO DA CONCEICAO LIMA              RUA PAULA BUENO,190-CONJ.43             CAMPINAS                                13076061SP37851000070977503714774/5     30072012021CAMPINAS            0511201200000000001321100CC                                                                                                                                                                                                                                                                                                                                                                                           196317-12     000013
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      014695926000153FABRICIO DA CONCEICAO LIMA              RUA PAULA BUENO,190-CONJ.43             CAMPINAS                                13076061SP37851000080977504514774/6     30072012021CAMPINAS            2311201200000000001324844CC                                                                                                                                                                                                                                                                                                                                                                                           196317-13     000014
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      014695926000153FABRICIO DA CONCEICAO LIMA              RUA PAULA BUENO,190-CONJ.43             CAMPINAS                                13076061SP37851000090977521514785/2     30072012021CAMPINAS            2909201200000000001170200CC                                                                                                                                                                                                                                                                                                                                                                                           196317-14     000015
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      014695926000153FABRICIO DA CONCEICAO LIMA              RUA PAULA BUENO,190-CONJ.43             CAMPINAS                                13076061SP37851000100977522314785/3     30072012021CAMPINAS            2409201200000000001170200CC                                                                                                                                                                                                                                                                                                                                                                                           196317-15     000016
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      014695926000153FABRICIO DA CONCEICAO LIMA              RUA PAULA BUENO,190-CONJ.43             CAMPINAS                                13076061SP37851000110977523114785/4     30072012021CAMPINAS            1510201200000000001170200CC                                                                                                                                                                                                                                                                                                                                                                                           196317-16     000017
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      014695926000153FABRICIO DA CONCEICAO LIMA              RUA PAULA BUENO,190-CONJ.43             CAMPINAS                                13076061SP37851000120977524014785/5     30072012021CAMPINAS            0211201200000000001170200CC                                                                                                                                                                                                                                                                                                                                                                                           196317-17     000018
1019421014068COBR_CAUC_COR  RIO BRANCO ALIMENTOS S/A                004641376007300SUPERMERCADOS BH COMERCIO DE            AV GERALDO ROCHA 700                    CONTAGEM                                32183054MG3785200001002469280143002401  13092012900BRADESCO S/A        1110201200000000022805358CC                                                                                                                                                                                                                                                                                                                                                                                           196320-1      000019
1019421014068COBR_CAUC_COR  RIO BRANCO ALIMENTOS S/A                004641376007300SUPERMERCADOS BH COMERCIO DE            AV GERALDO ROCHA 700                    CONTAGEM                                32183054MG3785200002002600330143142001  14092012900BRADESCO S/A        1210201200000000010140563CC                                                                                                                                                                                                                                                                                                                                                                                           196320-2      000020
1019421010259COBR_CAUC_BIC  L & S INTERBANK FOMENTO LTDA            003108004000186ALPHA VIGILANCIA E SEGURANCA LTDA       R. PATROCINIO Nº 252                    BELO HORIZONTE                          30710140MG3785300001065720374783        13092012019BELO HORIZONTE      2210201200000000016400321CC                                                                                                                                                                                                                                                                                                                                                                                           196320-3      000021
1008421002710DIR_CREDIT     OCS MIN E EMPREENDIMENTOS LTDA          034230979005418SUPERMIX CONCRETO S/A                   R PROF. JOSE VIEIRA DE MENDONçA, 1121   BELO HORIZONTE                          31310260MG3785900001                                                                                                                                          481027110           100120070000012817            14092012000404fornecimento de material produzido pela OCS-Mineração e EmpreendimentosLtda,a saber Brita 19mm,Brita 9,5mm e areia grossa de Brita,todos fornecidos e oferecidos em forma de tonelada.                                                          007323439000102196322-1      000022
1007421056385COBR_CAUC_COR  TERRA NOVA TRADING S/A                  033200056000220LOJAS RIACHUELO SA                      VIA PRESIDENTE,214-KM 200 METR,S/N      GUARULHOS                               07210000SP378650000100000263TV07571-00  17092012900BRADESCO S/A        2909201200000000015366682CC                                                                                                                                                                                                                                                                                                                                                                                           196322-2      000023
1016421006424COBR_CAUC_COR  BOUTIN FERTILIZANTES LTDA               007113113000142SOLOS E IND E COM DE FERTILIZANTES      ROD BR 376 ,11,115-KM 115,5             IVINHEMA                                79740000MS37866000010369404427955       23082012800UNIBANCO S/A        1902201300000000011184100CC                                                                                                                                                                                                                                                                                                                                                                                           196322-3      000024
1014420939021COBR_CAUC_BIC  EDITORA O DIA S/A                       010757237000175NOVA CASA BAHIA S/A.                    CONDE FRANCISCO MATARAZZO 100           SAO CAETANO DO                          09520900SP3786700001024735290657939     15092012038ABC                 0510201200000000020883977CC                                                                                                                                                                                                                                                                                                                                                                                           196322-4      000025
1019421014068COBR_CAUC_COR  RIO BRANCO ALIMENTOS S/A                004641376007300SUPERMERCADOS BH COMERCIO DE            AV GERALDO ROCHA 700                    CONTAGEM                                32183054MG3786800001002727910143145001  15092012900BRADESCO S/A        1310201200000000011165473CC                                                                                                                                                                                                                                                                                                                                                                                           196322-5      000026
1014421008439COBR_CAUC_BIC  TV OMEGA LTDA                           008455356000202Nutop Alimento Funcionais Ltda          RUA CLÉLIA - 10º ANDAR - CJ. 101 1251   SãoPaulo                                05042000SP37869000010454428800017501    17092012007PAULISTA            1511201200000000010120000CC                                                                                                                                                                                                                                                                                                                                                                                           196322-6      000027
1028421001518COBR_CAUC_COR  GAIA AGRIBUSINESS AGRICOLA LTDA         000048494836153JOSE ADONIZETE DA COSTA                 AV SANTA CATARINA ,180                  GOIATUBA                                75600000GO37870000010279212126068       17092012800UNIBANCO S/A        1503201300000000013666000CC                                                                                                                                                                                                                                                                                                                                                                                           196322-7      000028
1028421001518COBR_CAUC_COR  GAIA AGRIBUSINESS AGRICOLA LTDA         000064140130130VINICIUS VIEIRA LOPES                   RUA TAPAJOS ,712                        GOIATUBA                                75600000GO37871000010279213926069       17092012800UNIBANCO S/A        1003201300000000012834000CC                                                                                                                                                                                                                                                                                                                                                                                           196322-8      000029
1032421020308COBR_CAUC_COR  OTM SOLUCOES LOGISTICAS LTDA            001115535000170TESC TERMINAL SANTA CATARINA S.A        AV ENGENHEIRO LEITE RIBEIRO,0           SAO FRANCISCO D                         89240000SC37872000010000836325002178-0  14092012900BRADESCO S/A        0410201200000000012690799CC                                                                                                                                                                                                                                                                                                                                                                                           196322-9      000030
1032421020308COBR_CAUC_COR  OTM SOLUCOES LOGISTICAS LTDA            004945969000196WRC OPERADORES PORTUARIOS LTDA          AV ENG LEITE RIBEIRO,99                 SAO FRANCISCO D                         89240000SC37873000010000829125002179-0  14092012900BRADESCO S/A        0410201200000000012690799CC                                                                                                                                                                                                                                                                                                                                                                                           196322-10     000031
1003420935082DIR_CREDIT     PB CONSTRUCOES LTDA                     010260249000351CIA INDUSTRIAL DE CIMENTO APODI S/A     ROD. CE 422, KM 3,5 - SAO JOSE DO MIXIRACAUCAIA                                 61600000CE3787700001                                                                                                                                          011971017           150120120000021239S/N         17092012000403prestação de serviços de edificações de prédios industriais, incluso fundação até a limpeza e entrega final.                                                                                                                                    006017891000175196322-11     000032
9000031                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000033
