0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista , 1048 12º andar                           BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    03082010                                                                                                                                                                                                                                                                                                                                                                                                000001
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600005039252923762-1      06072010600BRADESCO S/A        0508201000000000001322100CC                                                                                                                                                                                                                                                                                                                                                                                           107695-12     000019
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600006039253063759-1      06072010900BRADESCO S/A        0508201000000000001627600CC                                                                                                                                                                                                                                                                                                                                                                                           107695-13     000020
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600007039286153777-1      07072010900BRADESCO S/A        0608201000000000002020200CC                                                                                                                                                                                                                                                                                                                                                                                           107695-14     000021
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600008039297513793-1      07072010600BRADESCO S/A        0608201000000000001818700CC                                                                                                                                                                                                                                                                                                                                                                                           107695-15     000022
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600009039297863800-1      08072010900BRADESCO S/A        0708201000000000001872000CC                                                                                                                                                                                                                                                                                                                                                                                           107695-16     000023
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600010039308813827-1      10072010600BRADESCO S/A        0908201000000000001756300CC                                                                                                                                                                                                                                                                                                                                                                                           107695-17     000024
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600011039308903834-1      10072010900BRADESCO S/A        0908201000000000001422200CC                                                                                                                                                                                                                                                                                                                                                                                           107695-18     000025
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600012039309383865-1      12072010900BRADESCO S/A        1108201000000000001900600CC                                                                                                                                                                                                                                                                                                                                                                                           107695-19     000026
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600013039320943871-1      12072010600BRADESCO S/A        1108201000000000001803100CC                                                                                                                                                                                                                                                                                                                                                                                           107695-20     000027
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600014039321163892-1      13072010900BRADESCO S/A        1208201000000000001680900CC                                                                                                                                                                                                                                                                                                                                                                                           107695-21     000028
